step_idx,failure_type,decision_time,frozen_task_ids,t,t1,t2,new_agent,delay_time,dynamic_task_ids
1,delay,7.643488645553589,1 2 3 4,3,,,,1.8096,1 2 3 4 5 6 8 7 9 10 11 12 13 15 14 16 17 18 19 20 21 22 24 23
2,delay,9.426896572113037,1 2 3 4 7,3,,,,3.6192,1 2 3 4 5 7 6 8 9 10 11 12 13 15 14 16 17 18 19 20 21 22 24 23
3,delay,20.32586979866028,1 2 3 4 5 6 7,6,,,,1.7319,1 2 3 4 5 7 6 8 9 10 11 12 13 15 14 16 17 18 19 20 21 22 24 23
4,order,22.000227451324463,1 2 3 4 5 7 8,,6,8,,,1 2 3 4 5 7 8 6 9 10 11 12 13 15 14 16 17 18 19 20 21 22 24 23
5,delay,30.55353569984436,1 2 3 4 5 6 7 8 9 11,9,,,,2.9619,1 2 3 4 5 7 8 6 9 11 10 12 13 15 14 16 17 18 19 20 21 22 24 23
6,delay,35.55913496017456,1 2 3 4 5 6 7 8 9 10 11,10,,,,1.797,1 2 3 4 5 7 8 6 9 11 10 12 13 15 14 16 17 18 19 20 21 22 24 23
7,order,37.23540544509888,1 2 3 4 5 6 7 8 9 11 12,,10,12,,,1 2 3 4 5 7 8 6 9 11 12 10 13 15 14 16 17 18 19 20 21 22 24 23
8,delay,40.841774702072144,1 2 3 4 5 6 7 8 9 10 11 12 16,10,,,,3.594,1 2 3 4 5 7 8 6 9 11 12 10 13 16 15 14 17 18 19 20 21 22 24 23
9,delay,50.28601789474487,1 2 3 4 5 6 7 8 9 10 11 12 13 15 16,15,,,,1.6689,1 2 3 4 5 7 8 6 9 11 12 10 13 16 15 14 17 18 19 20 21 22 24 23
10,order,50.92817974090576,1 2 3 4 5 6 7 8 9 10 11 12 13 14 16,,15,14,,,1 2 3 4 5 7 8 6 9 11 12 10 13 16 14 15 17 18 19 20 21 22 24 23
11,delay,62.48375868797302,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 20,18,,,,1.7319,1 2 3 4 5 7 8 6 9 11 12 10 13 16 14 15 17 18 20 19 21 22 24 23
12,order,63.13084626197815,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 19 20,,18,19,,,1 2 3 4 5 7 8 6 9 11 12 10 13 16 14 15 17 20 19 18 21 22 24 23
13,order,75.19041442871094,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 23 24,,22,23,,,1 2 3 4 5 7 8 6 9 11 12 10 13 16 14 15 17 20 19 18 21 24 23 22
