title: offline optimal schedule
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.99           3.99
       3       human           3.99           7.61           3.62
       4       robot           0.00           7.71           7.71
       5       human           7.71          13.63           5.92
       6       human          13.63          17.09           3.46
       8       human          17.09          20.69           3.59
       7       robot           7.71          15.94           8.23
       9       human          20.69          26.61           5.92
      10       human          26.61          30.20           3.59
      11       robot          20.23          28.61           8.38
      12       human          30.20          33.67           3.46
      13       human          33.67          39.59           5.92
      16       robot          32.54          41.59           9.06
      15       human          39.59          42.93           3.34
      14       human          42.93          46.51           3.58
      17       human          46.51          52.43           5.92
      18       human          52.43          55.90           3.46
      19       human          55.90          59.49           3.59
      20       robot          45.91          54.43           8.52
      21       human          59.49          65.42           5.92
      22       human          65.42          69.03           3.62
      23       human          69.03          72.63           3.59
      24       robot          58.21          67.42           9.20
                                         makespan:          72.63

title: dynamic scheduling 1
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.67           3.67
       3       human           3.69           9.12           5.43
       4       robot           0.00           7.71           7.71
       5       human           9.12          15.05           5.92
       6       human          15.05          18.51           3.46
       8       human          18.51          22.10           3.59
       7       robot           8.82          17.05           8.23
       9       human          22.10          28.03           5.92
      10       human          28.03          31.62           3.59
      11       robot          21.65          30.03           8.38
      12       human          31.62          35.09           3.46
      13       human          35.09          41.01           5.92
      16       robot          33.95          43.01           9.06
      15       human          41.01          44.35           3.34
      14       human          44.35          47.93           3.58
      17       human          47.93          53.85           5.92
      18       human          53.85          57.32           3.46
      19       human          57.32          60.91           3.59
      20       robot          47.33          55.85           8.52
      21       human          60.91          66.83           5.92
      22       human          66.83          70.45           3.62
      23       human          70.45          74.05           3.59
      24       robot          59.63          68.83           9.20
                                         makespan:          74.05

title: dynamic scheduling 2
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.67           3.67
       3       human           3.69           8.73           5.04
       4       robot           0.00           9.60           9.60
       5       human           9.60          13.17           3.56
       6       human          13.20          18.40           5.20
       7       robot           9.64          17.87           8.23
       8       human          18.40          21.99           3.59
       9       human          21.99          27.92           5.92
      12       human          27.92          31.38           3.46
      11       robot          21.54          29.92           8.38
      10       human          31.38          34.97           3.59
      13       human          34.97          40.90           5.92
      16       robot          33.84          42.90           9.06
      15       human          40.90          44.24           3.34
      14       human          44.24          47.82           3.58
      17       human          47.82          53.74           5.92
      18       human          53.74          57.20           3.46
      19       human          57.20          60.80           3.59
      20       robot          47.22          55.74           8.52
      21       human          60.80          66.72           5.92
      22       human          66.72          70.34           3.62
      23       human          70.34          73.93           3.59
      24       robot          59.52          68.72           9.20
                                         makespan:          73.93

title: dynamic scheduling 3
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.67           3.67
       3       human           3.69           8.73           5.04
       4       robot           0.00           9.60           9.60
       5       human           9.60          13.17           3.56
       7       robot           9.64          17.87           8.23
       8       human          13.20          17.33           4.13
       6       human          17.33          20.80           3.46
       9       human          20.80          26.72           5.92
      12       human          26.72          30.19           3.46
      11       robot          20.34          28.72           8.38
      10       human          30.19          33.78           3.59
      13       human          33.78          39.70           5.92
      16       robot          32.65          41.70           9.06
      15       human          39.70          43.04           3.34
      14       human          43.04          46.62           3.58
      17       human          46.62          52.54           5.92
      18       human          52.54          56.01           3.46
      19       human          56.01          59.60           3.59
      20       robot          46.02          54.54           8.52
      21       human          59.60          65.53           5.92
      22       human          65.53          69.15           3.62
      23       human          69.15          72.74           3.59
      24       robot          58.32          67.53           9.20
                                         makespan:          72.74

title: dynamic scheduling 4
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.67           3.67
       3       human           3.69           8.73           5.04
       4       robot           0.00           9.60           9.60
       5       human           9.60          13.17           3.56
       7       robot           9.64          19.72          10.09
       8       human          13.20          17.33           4.13
       6       human          17.33          19.47           2.13
       9       human          19.72          23.78           4.06
      12       human          23.80          29.00           5.20
      11       robot          20.40          28.78           8.38
      10       human          29.00          32.59           3.59
      13       human          32.59          38.51           5.92
      16       robot          31.46          40.51           9.06
      15       human          38.51          41.85           3.34
      14       human          41.85          45.43           3.58
      17       human          45.43          51.36           5.92
      18       human          51.36          54.82           3.46
      19       human          54.82          58.41           3.59
      20       robot          44.83          53.36           8.52
      21       human          58.41          64.34           5.92
      22       human          64.34          67.96           3.62
      23       human          67.96          71.55           3.59
      24       robot          57.14          66.34           9.20
                                         makespan:          71.55

title: dynamic scheduling 5
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.67           3.67
       3       human           3.69           8.73           5.04
       4       robot           0.00           9.60           9.60
       5       human           9.60          13.17           3.56
       7       robot           9.64          19.72          10.09
       8       human          13.20          17.33           4.13
       6       human          17.33          19.47           2.13
       9       human          19.72          23.78           4.06
      11       robot          20.40          28.78           8.38
      10       human          23.80          27.99           4.18
      12       human          27.99          31.45           3.46
      13       human          31.45          37.37           5.92
      16       robot          30.32          39.37           9.06
      15       human          37.37          40.71           3.34
      14       human          40.71          44.29           3.58
      17       human          44.29          50.22           5.92
      18       human          50.22          53.68           3.46
      19       human          53.68          57.27           3.59
      20       robot          43.69          52.22           8.52
      21       human          57.27          63.20           5.92
      22       human          63.20          66.82           3.62
      23       human          66.82          70.41           3.59
      24       robot          55.99          65.20           9.20
                                         makespan:          70.41

title: dynamic scheduling 6
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.67           3.67
       3       human           3.69           8.73           5.04
       4       robot           0.00           9.60           9.60
       5       human           9.60          13.17           3.56
       7       robot           9.64          19.72          10.09
       8       human          13.20          17.33           4.13
       6       human          17.33          19.47           2.13
       9       human          19.72          23.78           4.06
      11       robot          20.40          29.93           9.52
      10       human          23.80          27.99           4.18
      12       human          27.99          29.04           1.05
      13       human          29.93          34.46           4.53
      16       robot          30.32          39.38           9.06
      15       human          34.49          39.49           5.01
      14       human          39.49          43.07           3.58
      17       human          43.07          49.00           5.92
      18       human          49.00          52.46           3.46
      19       human          52.46          56.06           3.59
      20       robot          42.47          51.00           8.52
      21       human          56.06          61.98           5.92
      22       human          61.98          65.60           3.62
      23       human          65.60          69.19           3.59
      24       robot          54.78          63.98           9.20
                                         makespan:          69.19

title: dynamic scheduling 7
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.67           3.67
       3       human           3.69           8.73           5.04
       4       robot           0.00           9.60           9.60
       5       human           9.60          13.17           3.56
       7       robot           9.64          19.72          10.09
       8       human          13.20          17.33           4.13
       6       human          17.33          19.47           2.13
       9       human          19.72          23.78           4.06
      11       robot          20.40          29.93           9.52
      10       human          23.80          27.99           4.18
      12       human          27.99          29.04           1.05
      13       human          29.93          34.46           4.53
      16       robot          30.32          40.43          10.10
      15       human          34.49          38.48           3.99
      14       human          38.51          41.31           2.80
      17       human          41.42          46.59           5.17
      18       human          46.62          51.82           5.20
      20       robot          42.51          51.03           8.52
      19       human          51.82          55.41           3.59
      21       human          55.41          61.33           5.92
      22       human          61.33          64.95           3.62
      23       human          64.95          68.55           3.59
      24       robot          54.13          63.33           9.20
                                         makespan:          68.55

title: dynamic scheduling 8
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.67           3.67
       3       human           3.69           8.73           5.04
       4       robot           0.00           9.60           9.60
       5       human           9.60          13.17           3.56
       7       robot           9.64          19.72          10.09
       8       human          13.20          17.33           4.13
       6       human          17.33          19.47           2.13
       9       human          19.72          23.78           4.06
      11       robot          20.40          29.93           9.52
      10       human          23.80          27.99           4.18
      12       human          27.99          29.04           1.05
      13       human          29.93          34.46           4.53
      16       robot          30.32          40.43          10.10
      15       human          34.49          38.48           3.99
