step_idx,failure_type,decision_time,frozen_task_ids,t,t1,t2,new_agent,delay_time,dynamic_task_ids
1,delay,3.5840415954589844,13 14 15,14,,,,1.79,13 14 15 16 5 7 8 6 9 11 12 10 17 19 18 20 21 22 23 24 1 4 2 3
2,delay,8.31387972831726,13 14 15 16,16,,,,1.9965,13 14 15 16 5 7 8 6 9 11 12 10 17 19 18 20 21 22 23 24 1 4 2 3
3,delay,10.329203844070435,7 13 14 15 16,16,,,,3.993,13 14 15 16 5 7 8 6 9 11 12 10 17 19 18 20 21 22 23 24 1 4 2 3
4,delay,17.447819232940674,5 7 13 14 15 16,5,,,,2.9619,13 14 15 16 5 7 8 6 9 11 12 10 17 19 18 20 21 22 23 24 1 4 2 3
5,delay,22.74489402770996,5 7 8 13 14 15 16,8,,,,1.797,13 14 15 16 5 7 8 6 9 11 12 10 17 19 18 20 21 22 23 24 1 4 2 3
6,delay,24.556427001953125,5 7 8 13 14 15 16,8,,,,3.594,13 14 15 16 5 7 8 6 9 11 12 10 17 19 18 20 21 22 23 24 1 4 2 3
7,delay,28.772102117538452,5 6 7 8 13 14 15 16,6,,,,1.7319,13 14 15 16 5 7 8 6 9 11 12 10 17 19 18 20 21 22 23 24 1 4 2 3
8,delay,35.44390034675598,5 6 7 8 9 11 13 14 15 16,9,,,,2.9619,13 14 15 16 5 7 8 6 9 11 12 10 17 19 18 20 21 22 23 24 1 4 2 3
9,delay,38.4355947971344,5 6 7 8 9 11 13 14 15 16,9,,,,5.9238,13 14 15 16 5 7 8 6 9 11 12 10 17 19 18 20 21 22 23 24 1 4 2 3
10,delay,43.359344482421875,5 6 7 8 9 11 12 13 14 15 16,12,,,,1.7319,13 14 15 16 5 7 8 6 9 11 12 10 17 19 18 20 21 22 23 24 1 4 2 3
11,delay,52.87223029136658,5 6 7 8 9 10 11 12 13 14 15 16 17 20,17,,,,2.9619,13 14 15 16 5 7 8 6 9 11 12 10 17 20 19 18 21 22 23 24 1 4 2 3
12,delay,59.010194540023804,5 6 7 8 9 10 11 12 13 14 15 16 17 19 20,19,,,,1.797,13 14 15 16 5 7 8 6 9 11 12 10 17 20 19 18 21 22 23 24 1 4 2 3
13,delay,71.69749617576599,5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 24,22,,,,1.8096,13 14 15 16 5 7 8 6 9 11 12 10 17 20 19 18 21 22 24 23 1 4 2 3
