step_idx,failure_type,decision_time,frozen_task_ids,t,t1,t2,new_agent,delay_time,dynamic_task_ids
1,delay,16.76665210723877,1 2 3 4 5 7 8,8,,,,1.797,1 2 3 4 5 8 7 6 9 12 11 10 13 16 15 14 17 18 19 20 21 22 23 24
2,delay,18.579547882080078,1 2 3 4 5 7 8,8,,,,3.594,1 2 3 4 5 8 7 6 9 10 11 12 13 16 15 14 17 18 19 20 21 22 23 24
3,delay,22.93627429008484,1 2 3 4 5 6 7 8,6,,,,1.7319,1 2 3 4 5 8 7 6 9 10 11 12 13 16 15 14 17 18 19 20 21 22 23 24
4,delay,24.63651752471924,1 2 3 4 5 6 7 8 11,6,,,,3.4638,1 2 3 4 5 8 7 6 9 11 10 12 13 16 15 14 17 18 19 20 21 22 23 24
5,delay,35.605297565460205,1 2 3 4 5 6 7 8 9 10 11,10,,,,1.797,1 2 3 4 5 8 7 6 9 11 10 12 13 16 15 14 17 18 19 20 21 22 23 24
6,delay,37.41756463050842,1 2 3 4 5 6 7 8 9 10 11,10,,,,3.594,1 2 3 4 5 8 7 6 9 11 10 12 13 16 15 14 17 18 19 20 21 22 23 24
7,delay,61.6488983631134,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 20,18,,,,1.7319,1 2 3 4 5 8 7 6 9 11 10 12 13 16 15 14 17 18 20 19 21 22 23 24
8,delay,63.436238050460815,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 20,18,,,,3.4638,1 2 3 4 5 8 7 6 9 11 10 12 13 16 15 14 17 18 20 19 21 22 23 24
9,delay,69.67500305175781,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 24,19,,,,1.797,1 2 3 4 5 8 7 6 9 11 10 12 13 16 15 14 17 18 20 19 21 24 22 23
10,delay,78.75796961784363,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 24,22,,,,1.8096,1 2 3 4 5 8 7 6 9 11 10 12 13 16 15 14 17 18 20 19 21 24 22 23
11,delay,80.621253490448,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 24,22,,,,3.6192,1 2 3 4 5 8 7 6 9 11 10 12 13 16 15 14 17 18 20 19 21 24 22 23
