title: offline optimal schedule
 task ID       agent     start_time    finish_time       duration
      14       human           0.00           3.58           3.58
      15       robot           0.00           8.36           8.36
      16       human           3.58           7.57           3.99
       5       human           8.36          14.29           5.92
       6       human          14.29          17.75           3.46
       7       robot           8.36          16.59           8.23
       8       human          17.75          21.34           3.59
       1       human          21.34          27.27           5.92
       2       robot          20.21          29.27           9.06
       3       human          27.27          30.89           3.62
       4       human          30.89          34.48           3.59
      17       human          34.48          40.40           5.92
      18       human          40.40          43.87           3.46
      20       robot          34.03          42.40           8.38
      19       human          43.87          47.46           3.59
      21       human          47.46          53.39           5.92
      22       human          53.39          57.01           3.62
      23       human          57.01          60.60           3.59
      24       robot          46.18          55.39           9.20
       9       human          60.60          66.52           5.92
      11       robot          60.00          68.52           8.52
      12       human          66.52          69.99           3.46
      10       human          69.99          73.58           3.59
                                         makespan:          73.58

title: final timeline
 task ID       agent     start_time    finish_time       duration
      14       human           0.00           3.25           3.25
      15       robot           0.00           9.83           9.83
      16       human           3.27           6.44           3.17
       5       human           9.83          14.16           4.33
       6       human          14.19          16.69           2.50
       7       robot           9.86          20.01          10.15
       8       human          16.71          19.46           2.75
       1       human          20.01          24.22           4.21
       2       robot          20.22          30.50          10.28
       3       human          24.25          26.75           2.51
       4       human          26.81          30.15           3.34
      17       human          30.50          34.53           4.03
      18       human          34.55          37.57           3.02
      20       robot          34.06          43.64           9.58
      19       human          37.59          40.50           2.91
      21       human          43.64          47.89           4.25
      22       human          47.92          50.73           2.82
      23       human          50.75          53.30           2.55
      24       robot          46.21          56.36          10.15
       9       human          56.36          60.61           4.25
      11       robot          60.05          69.74           9.70
      12       human          60.64          63.52           2.88
      10       human          63.55          66.13           2.58
                                         makespan:          69.74

