title: offline optimal schedule
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.99           3.99
       3       human           3.99           7.61           3.62
       4       robot           0.00           7.71           7.71
       5       human           7.71          13.63           5.92
       7       robot           7.71          15.94           8.23
       6       human          13.63          17.09           3.46
       8       human          17.09          20.69           3.59
       9       human          20.69          26.61           5.92
      10       human          26.61          30.20           3.59
      11       robot          20.23          28.61           8.38
      12       human          30.20          33.67           3.46
      13       human          33.67          39.59           5.92
      14       human          39.59          43.17           3.58
      15       human          43.17          46.51           3.34
      16       robot          32.54          41.59           9.06
      17       human          46.51          52.43           5.92
      18       human          52.43          55.90           3.46
      19       human          55.90          59.49           3.59
      20       robot          45.91          54.43           8.52
      21       human          59.49          65.42           5.92
      24       robot          58.21          67.42           9.20
      22       human          65.42          69.03           3.62
      23       human          69.03          72.63           3.59
                                         makespan:          72.63

title: dynamic scheduling 1
 task ID       agent     start_time    finish_time       duration
       2       human          -0.00           3.09           3.09
       3       human           3.16           8.58           5.43
       4       robot           0.11           7.81           7.71
       5       human           8.58          14.51           5.92
       7       robot           8.28          16.51           8.23
       6       human          14.51          17.97           3.46
       8       human          17.97          21.57           3.59
       9       human          21.57          27.49           5.92
      10       human          27.49          31.08           3.59
      11       robot          21.11          29.49           8.38
      12       human          31.08          34.55           3.46
      13       human          34.55          40.47           5.92
      14       human          40.47          44.05           3.58
      15       human          44.05          47.39           3.34
      16       robot          33.42          42.47           9.06
      17       human          47.39          53.31           5.92
      18       human          53.31          56.78           3.46
      19       human          56.78          60.37           3.59
      20       robot          46.79          55.31           8.52
      21       human          60.37          66.29           5.92
      24       robot          59.09          68.29           9.20
      22       human          66.29          69.91           3.62
      23       human          69.91          73.51           3.59
                                         makespan:          73.51

title: dynamic scheduling 2
 task ID       agent     start_time    finish_time       duration
       2       human          -0.00           3.09           3.09
       3       human           3.16           7.56           4.40
       4       robot           0.11           8.76           8.66
       5       human           8.76          13.50           4.73
       7       robot           8.83          17.43           8.60
       6       human          13.56          16.96           3.40
       8       human          17.03          20.11           3.08
       9       human          20.24          25.08           4.84
      10       human          25.16          30.55           5.39
      11       robot          21.19          29.57           8.38
      12       human          30.55          34.01           3.46
      13       human          34.01          39.94           5.92
      14       human          39.94          43.52           3.58
      15       human          43.52          46.85           3.34
      16       robot          32.88          41.94           9.06
      17       human          46.85          52.78           5.92
      18       human          52.78          56.24           3.46
      19       human          56.24          59.83           3.59
      20       robot          46.25          54.78           8.52
      21       human          59.83          65.76           5.92
      24       robot          58.56          67.76           9.20
      22       human          65.76          69.38           3.62
      23       human          69.38          72.97           3.59
                                         makespan:          72.97

title: dynamic scheduling 3
 task ID       agent     start_time    finish_time       duration
       2       human          -0.00           3.09           3.09
       3       human           3.16           7.56           4.40
       4       robot           0.11           8.76           8.66
       5       human           8.76          13.50           4.73
       7       robot           8.83          17.43           8.60
       6       human          13.56          16.96           3.40
       8       human          17.03          20.11           3.08
       9       human          20.24          25.08           4.84
      10       human          25.16          30.46           5.31
      11       robot          21.19          31.03           9.84
      12       human          30.54          33.13           2.59
      13       human          33.25          42.14           8.89
      16       robot          32.98          44.14          11.16
      14       human          42.14          45.72           3.58
      15       human          45.72          49.05           3.34
      17       human          49.05          54.98           5.92
      18       human          54.98          58.44           3.46
      19       human          58.44          62.04           3.59
      20       robot          48.45          56.98           8.52
      21       human          62.04          67.96           5.92
      24       robot          60.76          69.96           9.20
      22       human          67.96          71.58           3.62
      23       human          71.58          75.17           3.59
                                         makespan:          75.17

title: dynamic scheduling 4
 task ID       agent     start_time    finish_time       duration
       2       human          -0.00           3.09           3.09
       3       human           3.16           7.56           4.40
       4       robot           0.11           8.76           8.66
       5       human           8.76          13.50           4.73
       7       robot           8.83          17.43           8.60
       6       human          13.56          16.96           3.40
       8       human          17.03          20.11           3.08
       9       human          20.24          25.08           4.84
      10       human          25.16          30.46           5.31
      11       robot          21.19          31.03           9.84
      12       human          30.54          33.13           2.59
      13       human          33.25          48.06          14.81
      16       robot          32.98          50.06          17.08
      14       human          48.06          51.64           3.58
      15       human          51.64          54.98           3.34
      17       human          54.98          60.90           5.92
      18       human          60.90          64.36           3.46
      19       human          64.36          67.96           3.59
      20       robot          54.38          62.90           8.52
      21       human          67.96          73.88           5.92
      24       robot          66.68          75.88           9.20
      22       human          73.88          77.50           3.62
      23       human          77.50          81.10           3.59
                                         makespan:          81.10

title: dynamic scheduling 5
 task ID       agent     start_time    finish_time       duration
       2       human          -0.00           3.09           3.09
       3       human           3.16           7.56           4.40
       4       robot           0.11           8.76           8.66
       5       human           8.76          13.50           4.73
       7       robot           8.83          17.43           8.60
       6       human          13.56          16.96           3.40
       8       human          17.03          20.11           3.08
       9       human          20.24          25.08           4.84
      10       human          25.16          30.46           5.31
      11       robot          21.19          31.03           9.84
      12       human          30.54          33.13           2.59
      13       human          33.25          43.53          10.29
      16       robot          32.98          46.32          13.34
      14       human          43.61          46.74           3.13
      15       human          46.81          49.45           2.64
      17       human          49.53          53.87           4.34
      18       human          53.96          59.15           5.20
      20       robot          54.43          62.96           8.52
      19       human          59.15          62.75           3.59
      21       human          62.96          68.88           5.92
      24       robot          62.96          72.16           9.20
      22       human          68.88          72.50           3.62
      23       human          72.50          76.09           3.59
                                         makespan:          76.09

title: final timeline
 task ID       agent     start_time    finish_time       duration
       2       human          -0.00           3.09           3.09
       3       human           3.16           7.56           4.40
       4       robot           0.11           8.76           8.66
       5       human           8.76          13.50           4.73
       7       robot           8.83          17.43           8.60
       6       human          13.56          16.96           3.40
       8       human          17.03          20.11           3.08
       9       human          20.24          25.08           4.84
      10       human          25.16          30.46           5.31
      11       robot          21.19          31.03           9.84
      12       human          30.54          33.13           2.59
      13       human          33.25          43.53          10.29
      16       robot          32.98          46.32          13.34
      14       human          43.61          46.74           3.13
      15       human          46.81          49.45           2.64
      17       human          49.53          53.87           4.34
      18       human          53.96          58.66           4.71
      20       robot          54.43          64.22           9.78
      19       human          58.73          62.39           3.66
      21       human          64.22          69.17           4.95
      24       robot          64.29          73.88           9.59
      22       human          69.24          72.53           3.29
      23       human          72.59          75.40           2.81
                                         makespan:          75.40

