Name,x_coord,y_coord,z_coord
LH,-15,-45,2
RH,15,-45,2
OBJA,32.5,-2.5,9
OBJA_TOP,32.5,-2.5,15
OBJB,15,-17.5,9
OBJB_TOP,15,-17.5,15
OBJC,32.5,-17.5,9
OBJC_TOP,32.5,-17.5,15
OBJD,32.5,-32.5,9
OBJD_TOP,32.5,-32.5,15
KITBOX_ZONE,-5,-32.5,1.5
KITBOX_ZONE_TOP,-5,-32.5,7.5
LA_T,0,-29,3
LA_T_TOP,0,-29,9
LA_BL,-3.5,-36,3
LA_BL_TOP,-3.5,-36,9
LA_BR,6,-36,3
LA_BR_TOP,6,-36,9
LB_T,0,-29,3
LB_T_TOP,0,-29,9
LB_BL,-5.2,-36,3
LB_BL_TOP,-5.2,-36,9
LB_BR,5.2,-36,3
LB_BR_TOP,5.2,-36,9
LC_T,0,-29,3
LC_T_TOP,0,-29,9
LC_BL,-5.2,-36,3
LC_BL_TOP,-5.2,-36,9
LC_BR,5.2,-36,3
LC_BR_TOP,5.2,-36,9
NEW_KITBOX,-35,-37.5,1.5
NEW_KITBOX_TOP,-35,-37.5,7.5
STORAGE_ZONE,-40,-60,1.5
STORAGE_ZONE_TOP,-40,-60,7.5
T,0,-29,3
T_TOP,0,-29,9
BL,-4.63,-36,3
BL_TOP,-4.63,-36,9
BR,5.47,-36,3
BR_TOP,5.47,-36,9
