task name,layout,stack,time(sec)
pick and place A,LA,1,9.056
pick and place A,LA,2,9.204
pick and place A,LA,3,9.371
pick and place A,LB,1,9.058
pick and place A,LB,2,9.202
pick and place A,LB,3,9.374
pick and place B,LA,1,8.787
pick and place B,LA,2,8.934
pick and place B,LA,3,9.084
pick and place B,LA,4,9.252
pick and place B,LC,1,8.28
pick and place B,LC,2,8.425
pick and place B,LC,3,8.576
pick and place B,LC,4,8.741
pick and place C,LB,1,8.229
pick and place C,LB,2,8.377
pick and place C,LB,3,8.524
pick and place C,LB,4,8.672
pick and place C,LB,5,8.842
pick and place C,LC,1,8.23
pick and place C,LC,2,8.378
pick and place C,LC,3,8.524
pick and place C,LC,4,8.674
pick and place C,LC,5,8.84
pick and place D,LA,1,8.362
pick and place D,LA,2,8.508
pick and place D,LA,3,8.656
pick and place D,LA,4,8.802
pick and place D,LA,5,8.952
pick and place D,LA,6,9.121
pick and place D,LB,1,7.705
pick and place D,LB,2,7.857
pick and place D,LB,3,8.001
pick and place D,LB,4,8.15
pick and place D,LB,5,8.298
pick and place D,LB,6,8.469
pick and place D,LC,1,7.705
pick and place D,LC,2,7.856
pick and place D,LC,3,8.002
pick and place D,LC,4,8.15
pick and place D,LC,5,8.298
pick and place D,LC,6,8.467
