task,variant,layout,stack,action,from,to,resolved_to,x,y,z
,,,,,,,,,,
# Task: pick and place A | Variant:  | Layout: LA | Stack: 1,,,,,,,,,,
pick and place A,,LA,1,R,AGENT,OBJA_TOP,OBJA_TOP,-0.325,0.025,0.15
pick and place A,,LA,1,R,OBJA_TOP,OBJA,OBJA,-0.325,0.025,0.094
pick and place A,,LA,1,M,OBJA,OBJA_TOP,OBJA_TOP,-0.325,0.025,0.15
pick and place A,,LA,1,M,OBJA_TOP,T_TOP,LA_T_TOP,0,-0.29,0.15
pick and place A,,LA,1,M,T_TOP,T,LA_T,0,-0.29,0.04
pick and place A,,LA,1,R,T,T_TOP,LA_T_TOP,0,-0.29,0.15
pick and place A,,LA,1,R,T_TOP,AGENT,BOT,0,-0.23,0.15
,,,,,,,,,,
# Task: pick and place A | Variant:  | Layout: LA | Stack: 2,,,,,,,,,,
pick and place A,,LA,2,R,AGENT,OBJA_TOP,OBJA_TOP,-0.325,0.025,0.15
pick and place A,,LA,2,R,OBJA_TOP,OBJA,OBJA,-0.325,0.025,0.08
pick and place A,,LA,2,M,OBJA,OBJA_TOP,OBJA_TOP,-0.325,0.025,0.15
pick and place A,,LA,2,M,OBJA_TOP,T_TOP,LA_T_TOP,0,-0.29,0.15
pick and place A,,LA,2,M,T_TOP,T,LA_T,0,-0.29,0.04
pick and place A,,LA,2,R,T,T_TOP,LA_T_TOP,0,-0.29,0.15
pick and place A,,LA,2,R,T_TOP,AGENT,BOT,0,-0.23,0.15
,,,,,,,,,,
# Task: pick and place A | Variant:  | Layout: LA | Stack: 3,,,,,,,,,,
pick and place A,,LA,3,R,AGENT,OBJA_TOP,OBJA_TOP,-0.325,0.025,0.15
pick and place A,,LA,3,R,OBJA_TOP,OBJA,OBJA,-0.325,0.025,0.066
pick and place A,,LA,3,M,OBJA,OBJA_TOP,OBJA_TOP,-0.325,0.025,0.15
pick and place A,,LA,3,M,OBJA_TOP,T_TOP,LA_T_TOP,0,-0.29,0.15
pick and place A,,LA,3,M,T_TOP,T,LA_T,0,-0.29,0.04
pick and place A,,LA,3,R,T,T_TOP,LA_T_TOP,0,-0.29,0.15
pick and place A,,LA,3,R,T_TOP,AGENT,BOT,0,-0.23,0.15
,,,,,,,,,,
# Task: pick and place A | Variant:  | Layout: LA | Stack: 4,,,,,,,,,,
pick and place A,,LA,4,R,AGENT,OBJA_TOP,OBJA_TOP,-0.325,0.025,0.15
pick and place A,,LA,4,R,OBJA_TOP,OBJA,OBJA,-0.325,0.025,0.052
pick and place A,,LA,4,M,OBJA,OBJA_TOP,OBJA_TOP,-0.325,0.025,0.15
pick and place A,,LA,4,M,OBJA_TOP,T_TOP,LA_T_TOP,0,-0.29,0.15
pick and place A,,LA,4,M,T_TOP,T,LA_T,0,-0.29,0.04
pick and place A,,LA,4,R,T,T_TOP,LA_T_TOP,0,-0.29,0.15
pick and place A,,LA,4,R,T_TOP,AGENT,BOT,0,-0.23,0.15
,,,,,,,,,,
# Task: pick and place A | Variant:  | Layout: LA | Stack: 5,,,,,,,,,,
