Name,x_coord,y_coord,z_coord,,NO.,height,No gripper
BOT,0,-23,15,,1,9.4,26.4
OBJA,-32.5,2.5,9.4,,2,8,25
OBJA_TOP,-32.5,2.5,15,,3,6.6,23.6
OBJB,-35,-7.5,9.4,,4,5.2,22.2
OBJB_TOP,-35,-7.5,15,,5,3.8,20.8
OBJC,-22.5,-7.5,9.4,,6,2.2,19.2
OBJC_TOP,-22.5,-7.5,15,,,,
OBJD,-32.5,-17.5,9.4,,,,
OBJD_TOP,-32.5,-17.5,15,,,,
LA_T,0,-29,4,,,,
LA_T_TOP,0,-29,15,,,,
LA_BL,-3.5,-36,4,,,,
LA_BL_TOP,-3.5,-36,15,,,,
LA_BR,6,-36,4,,,,
LA_BR_TOP,6,-36,15,,,,
LB_T,0,-29,4,,,,
LB_T_TOP,0,-29,15,,,,
LB_BL,-5.2,-36,4,,,,
LB_BL_TOP,-5.2,-36,15,,,,
LB_BR,5.2,-36,4,,,,
LB_BR_TOP,5.2,-36,15,,,,
LC_T,0,-29,4,,,,
LC_T_TOP,0,-29,15,,,,
LC_BL,-5.2,-36,4,,,,
LC_BL_TOP,-5.2,-36,15,,,,
LC_BR,5.2,-36,4,,,,
LC_BR_TOP,5.2,-36,15,,,,
