Task,Name,From,To,Type
pick and place A,R,AGENT,OBJA_TOP,B
,R,OBJA_TOP,OBJA,B
,G,OBJA,OBJA,1A
,M,OBJA,OBJA_TOP,B
,M,OBJA_TOP,T_TOP,B
,M,T_TOP,T,B
,RL,T,T,1
,R,T,T_TOP,B
,R,T_TOP,AGENT,B
,END,,,
pick and place B,R,AGENT,OBJB_TOP,B
Layout A,R,OBJB_TOP,OBJB,B
,G,OBJB,OBJB,1A
,M,OBJB,OBJB_TOP,B
,M,OBJB_TOP,BL_TOP,B
,M,BL_TOP,BL,B
,RL,BL,BL,1
,R,BL,BL_TOP,B
,R,BL_TOP,AGENT,B
,END,,,
pick and place B,R,AGENT,OBJB_TOP,B
Layout C,R,OBJB_TOP,OBJB,B
,G,OBJB,OBJB,1A
,M,OBJB,OBJB_TOP,B
,M,OBJB_TOP,T_TOP,B
,M,T_TOP,T,B
,RL,T,T,1
,R,T,T_TOP,B
,R,T_TOP,AGENT,B
,END,,,
pick and place C,R,AGENT,OBJC_TOP,B
,R,OBJC_TOP,OBJC,B
,G,OBJC,OBJC,1A
,M,OBJC,OBJC_TOP,B
,M,OBJC_TOP,BR_TOP,B
,M,BR_TOP,BR,B
,RL,BR,BR,1
,R,BR,BR_TOP,B
,R,BR_TOP,AGENT,B
,END,,,
pick and place D,R,AGENT,OBJD_TOP,B
Layout A,R,OBJD_TOP,OBJD,B
,G,OBJD,OBJD,1A
,M,OBJD,OBJD_TOP,B
,M,OBJD_TOP,BR_TOP,B
,M,BR_TOP,BR,B
,RL,BR,BR,1
,R,BR,BR_TOP,B
,R,BR_TOP,AGENT,B
,END,,,
pick and place D,R,AGENT,OBJD_TOP,B
Layout B/C,R,OBJD_TOP,OBJD,B
,G,OBJD,OBJD,1A
,M,OBJD,OBJD_TOP,B
,M,OBJD_TOP,BL_TOP,B
,M,BL_TOP,BL,B
,RL,BL,BL,1
,R,BL,BL_TOP,B
,R,BL_TOP,AGENT,B
,END,,,
replace,R,AGENT,KITBOX_ZONE_TOP,B
,R,KITBOX_ZONE_TOP,KITBOX_ZONE,B
,G,KITBOX_ZONE,KITBOX_ZONE,1B
,M,KITBOX_ZONE,KITBOX_ZONE_TOP,B
,M,KITBOX_ZONE_TOP,STORAGE_ZONE_TOP,B
,M,STORAGE_ZONE_TOP,STORAGE_ZONE,B
,RL,STORAGE_ZONE,STORAGE_ZONE,1
,R,STORAGE_ZONE,STORAGE_ZONE_TOP,B
,R,STORAGE_ZONE_TOP,NEW_KITBOX,B
,G,NEW_KITBOX,NEW_KITBOX,1B
,M,NEW_KITBOX,NEW_KITBOX_TOP,B
,M,NEW_KITBOX_TOP,KITBOX_ZONE_TOP,B
,M,KITBOX_ZONE_TOP,KITBOX_ZONE,B
,RL,KITBOX_ZONE,KITBOX_ZONE,1
,R,KITBOX_ZONE,KITBOX_ZONE_TOP,B
,R,KITBOX_ZONE_TOP,AGENT,B
,END,,,
