Therblig,LH,RH,BOT
R2B,20,20,23
R4B,34,34,45
R6B,45,45,67
R8B,55,55,89
R10B,63,63,112
R12B,74,74,134
R14B,82,82,156
R16B,88,88,178
R18B,94,94,201
R20B,100,100,223
R22B,105,105,245
R24B,111,111,267
R26B,117,117,289
R28B,122,122,312
R30B,128,128,334
R35B,142,142,389
R40B,156,156,445
R45B,170,170,500
R50B,184,184,556
R55B,198,198,612
R60B,212,212,667
R65B,226,226,723
R70B,241,241,778
R75B,255,255,834
R80B,269,269,889
M2B,20,20,23
M4B,40,40,45
M6B,50,50,67
M8B,59,59,89
M10B,68,68,112
M12B,77,77,134
M14B,85,85,156
M16B,92,92,178
M18B,98,98,201
M20B,105,105,223
M22B,112,112,245
M24B,118,118,267
M26B,123,123,289
M28B,128,128,312
M30B,133,133,334
M35B,145,145,389
M40B,156,156,445
M45B,168,168,500
M50B,180,180,556
M55B,192,192,612
M60B,204,204,667
M65B,216,216,723
M70B,228,228,778
M75B,240,240,834
M80B,252,252,889
G,20,20,44
RL,20,20,44
P,20,20,44
A,138,138,138
DA,138,138,138
END,0,0,0
