Name,x_coord,y_coord,z_coord
LH,-20,5,-48
RH,25,5,-48
BOT,0,13.5,-20
OP1,-31.25,2,-26.25
OP1_TOP,-31.25,8,-26.25
TP1,-13.75,2,-36.25
TP1_TOP,-13.75,8,-36.25
A1,-6.25,2,-36.25
A1_TOP,-6.25,8,-36.25
OP2,-26.25,2,-26.25
OP2_TOP,-26.25,8,-26.25
TP2,-13.75,2,-36.25
TP2_TOP,-13.75,8,-36.25
A2,-6.25,5,-36.25
A2_TOP,-6.25,8,-36.25
OP3,-31.25,2,-16.25
OP3_TOP,-31.25,8,-16.25
TP3,-13.75,2,-26.25
TP3_TOP,-13.75,8,-26.25
A3,-6.25,2,-28.75
A3_TOP,-6.25,8,-28.75
OP4,-26.25,2,-16.25
OP4_TOP,-26.25,8,-16.25
TP4,13.75,2,-26.25
TP4_TOP,13.75,8,-26.25
A4,6.25,2,-28.75
A4_TOP,6.25,8,-28.75
OP5,26.25,2,-36.25
OP5_TOP,26.25,8,-36.25
TP5,13.75,2,-36.25
TP5_TOP,13.75,8,-36.25
A5,6.25,2,-36.25
A5_TOP,6.25,8,-36.25
OP6,31.25,2,-36.25
OP6_TOP,31.25,8,-36.25
TP6,13.75,2,-36.25
TP6_TOP,13.75,8,-36.25
A6,6.25,5,-36.25
A6_TOP,6.25,8,-36.25
OP7,26.25,2,-26.25
OP7_TOP,26.25,8,-26.25
TP7,-1.25,2,-21.25
TP7_TOP,-1.25,8,-21.25
A7,-1.25,2,-32.5
A7_TOP,-1.25,8,-32.5
OP8,31.25,2,-26.25
OP8_TOP,31.25,8,-26.25
TP8,3.75,2,-21.25
TP8_TOP,3.75,8,-21.25
A8_TOP,1.25,8,-32.5
OP9,31.25,2,-16.25
OP9_TOP,31.25,8,-16.25
TP9,13.75,2,-21.25
TP9_TOP,13.75,8,-21.25
A9,6.25,5,-28.75
A9_TOP,6.25,8,-28.75
DA10_TOP,12.5,8,-21.25
TP10,-8.75,2,-21.25
TP10_TOP,-8.75,8,-21.25
A10,-6.25,5,-28.75
A10_TOP,-6.25,8,-28.75
