step_idx,failure_type,decision_time,csv_delay_time,actual_incremental_delay,applied_nores_delay,delay_source,nores_makespan,dynamic_makespan_after_event,nores_minus_dynamic,target_task,t1,t2,earlier_task,later_task,order_base_duration,order_required_task_actual_duration,order_wrong_first_task_actual_duration,order_later_standard_duration,order_later_simulated_duration,order_later_duration_source,order_has_delay,compensation_mode,compensation_value,applied_compensation,compensation_base_duration,compensation_base_source,compensation_upper,order_fixed_compensation,order_compensation_upper,released_previous_delay,observed_order_extra_delay
1,delay,4.040065050125122,1.9965,2.0,0.0,real_gantt_duration_synchronized,74.49000000000001,74.53,-0.03999999999999204,2,,,,,,,,,,,,fixed,3.35,,,,,,,,
2,delay,5.995146751403809,3.993,3.99,0.0,real_gantt_duration_synchronized,78.48,78.53,-0.04999999999999716,2,,,,,,,,,,,,fixed,3.35,,,,,,,,
3,delay,10.01536512374878,7.986,7.989999999999998,0.0,real_gantt_duration_synchronized,86.46920000000001,83.17,3.2992000000000132,2,,,,,,,,,,,,fixed,3.35,,,,,,,,
4,delay,24.7481369972229,2.9619,2.9700000000000006,0.0,real_gantt_duration_synchronized,82.12920000000001,86.66,-4.530799999999985,5,,,,,,,,,,,,fixed,3.35,,,,,,,,
5,delay,30.390140533447266,1.7319,1.7400000000000002,0.0,real_gantt_duration_synchronized,83.09920000000001,87.65,-4.550799999999995,6,,,,,,,,,,,,fixed,3.35,,,,,,,,
6,delay,32.121562004089355,3.4638,3.46,0.0,real_gantt_duration_synchronized,86.5592,91.12,-4.5608,6,,,,,,,,,,,,fixed,3.35,,,,,,,,
7,delay,35.619853258132935,6.9276,6.93,0.0,real_gantt_duration_synchronized,93.4932,95.42,-1.9268,6,,,,,,,,,,,,fixed,3.35,,,,,,,,
8,delay,53.53815960884094,1.797,1.7999999999999998,0.0,real_gantt_duration_synchronized,91.99320000000002,97.71,-5.716799999999978,10,,,,,,,,,,,,fixed,3.35,,,,,,,,
9,delay,55.304301738739014,3.594,3.5900000000000007,0.0,real_gantt_duration_synchronized,95.5832,101.31,-5.726799999999997,10,,,,,,,,,,,,fixed,3.35,,,,,,,,
10,delay,61.262489318847656,1.7319,1.7400000000000002,0.0,real_gantt_duration_synchronized,96.20320000000001,101.95,-5.746799999999993,12,,,,,,,,,,,,fixed,3.35,,,,,,,,
11,delay,63.00668215751648,3.4638,3.46,0.0,real_gantt_duration_synchronized,99.66320000000002,105.42,-5.756799999999984,12,,,,,,,,,,,,fixed,3.35,,,,,,,,
12,delay,70.57492399215698,2.9619,2.9700000000000006,0.0,real_gantt_duration_synchronized,100.72320000000002,106.53,-5.806799999999981,13,,,,,,,,,,,,fixed,3.35,,,,,,,,
13,delay,75.26061415672302,1.6689,1.67,0.0,real_gantt_duration_synchronized,100.74320000000002,106.59,-5.846799999999988,15,,,,,,,,,,,,fixed,3.35,,,,,,,,
14,delay,76.93329238891602,3.3378,3.33,0.0,real_gantt_duration_synchronized,104.07320000000001,109.93,-5.856799999999993,15,,,,,,,,,,,,fixed,3.35,,,,,,,,
15,delay,83.59639883041382,1.79,1.79,0.0,real_gantt_duration_synchronized,105.58320000000002,111.45,-5.866799999999984,14,,,,,,,,,,,,fixed,3.35,,,,,,,,
16,delay,85.33819890022278,3.58,3.579999999999999,0.0,real_gantt_duration_synchronized,109.16320000000002,115.03,-5.866799999999984,14,,,,,,,,,,,,fixed,3.35,,,,,,,,
17,delay,88.96862959861755,7.16,7.16,0.0,real_gantt_duration_synchronized,116.32320000000001,122.19,-5.866799999999984,14,,,,,,,,,,,,fixed,3.35,,,,,,,,
18,delay,101.13503766059875,1.7319,1.7400000000000002,0.0,real_gantt_duration_synchronized,113.60320000000002,119.6,-5.996799999999979,18,,,,,,,,,,,,fixed,3.35,,,,,,,,
19,delay,102.86762881278992,3.4638,3.46,0.0,real_gantt_duration_synchronized,117.06320000000001,123.06,-5.996799999999993,18,,,,,,,,,,,,fixed,3.35,,,,,,,,
20,delay,106.38306474685669,6.9276,6.93,0.0,real_gantt_duration_synchronized,123.9972,127.52,-3.5227999999999895,18,,,,,,,,,,,,fixed,3.35,,,,,,,,
21,delay,113.29127597808838,6.9276,6.920000000000002,0.0,real_gantt_duration_synchronized,130.9172,133.32,-2.402799999999985,18,,,,,,,,,,,,fixed,3.35,,,,,,,,
22,delay,120.20371079444885,6.9276,6.93,0.0,real_gantt_duration_synchronized,137.8472,140.25,-2.4028000000000134,18,,,,,,,,,,,,fixed,3.35,,,,,,,,
23,delay,127.73367142677307,2.9619,2.9700000000000006,0.0,real_gantt_duration_synchronized,135.4572,137.9,-2.4428000000000054,21,,,,,,,,,,,,fixed,3.35,,,,,,,,
24,delay,132.78354477882385,1.797,1.7999999999999998,0.0,real_gantt_duration_synchronized,135.71719999999996,138.18,-2.462800000000044,23,,,,,,,,,,,,fixed,3.35,,,,,,,,
25,delay,134.58973741531372,3.594,3.5900000000000007,0.0,real_gantt_duration_synchronized,139.30719999999997,141.78,-2.472800000000035,23,,,,,,,,,,,,fixed,3.35,,,,,,,,
26,delay,138.1881446838379,7.188,7.190000000000001,0.0,real_gantt_duration_synchronized,146.4964,147.03,-0.533600000000007,23,,,,,,,,,,,,fixed,3.35,,,,,,,,
