title: Offline optimal schedule
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.99           3.99
       3       human           3.99           7.61           3.62
       4       robot           0.00           7.71           7.71
       5       human           7.71          13.63           5.92
       7       robot           7.71          15.94           8.23
       8       human          13.63          17.22           3.59
       6       human          17.22          20.69           3.46
       9       human          20.69          26.61           5.92
      10       human          26.61          30.20           3.59
      11       robot          20.23          28.61           8.38
      12       human          30.20          33.67           3.46
      13       human          33.67          39.59           5.92
      14       human          39.59          43.17           3.58
      15       human          43.17          46.51           3.34
      16       robot          32.54          41.59           9.06
      17       human          46.51          52.43           5.92
      18       human          52.43          55.90           3.46
      19       human          55.90          59.49           3.59
      20       robot          45.91          54.43           8.52
      21       human          59.49          65.42           5.92
      22       human          65.42          69.03           3.62
      23       human          69.03          72.63           3.59
      24       robot          58.21          67.42           9.20
                                         makespan:          72.63

title: Final no rescheduling
 task ID       agent     start_time    finish_time       duration
       1       human           0.00           0.00           0.00
       2       human           0.00           2.47           2.47
       3       human           2.47           5.75           3.28
       4       robot           0.00           8.62           8.62
       5       human           8.62          12.93           4.31
       7       robot           8.62          17.22           8.60
       8       human          12.93          15.66           2.73
       6       human          15.66          17.95           2.29
       9       human          17.95          22.43           4.48
      10       human          22.43          24.92           2.49
      11       robot          20.23          29.97           9.74
      12       human          24.92          27.43           2.51
      13       human          29.97          34.15           4.18
      14       human          34.15          37.23           3.08
      15       human          37.23          39.31           2.08
      16       robot          32.54          42.84          10.30
      17       human          42.84          46.79           3.95
      18       human          46.79          49.32           2.53
      19       human          49.32          51.76           2.44
      20       robot          45.91          55.99          10.08
      21       human          55.99          59.92           3.93
      22       human          59.92          62.20           2.28
      23       human          62.20          64.42           2.22
      24       robot          58.21          67.89           9.68
                                         makespan:          67.89

title: Final dynamic timeline
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           2.47           2.47
       3       human           2.49           5.78           3.28
       4       robot           0.00           8.62           8.62
       5       human           8.62          12.93           4.31
       7       robot           8.64          17.24           8.60
       8       human          12.98          15.70           2.73
       6       human          15.73          18.02           2.29
       9       human          18.10          22.58           4.48
      10       human          22.63          25.12           2.49
      11       robot          20.24          29.98           9.74
      12       human          25.16          27.67           2.51
      13       human          29.98          34.16           4.18
      14       human          34.20          37.28           3.08
      15       human          37.31          39.39           2.08
      16       robot          32.55          42.85          10.30
      17       human          42.85          46.81           3.95
      18       human          46.83          49.36           2.53
      19       human          49.40          51.84           2.44
      20       robot          45.96          56.04          10.08
      21       human          56.04          59.97           3.93
      22       human          60.00          62.28           2.28
      23       human          62.30          64.52           2.22
      24       robot          58.24          67.91           9.68
                                         makespan:          67.91

