case_id,step_idx,failure_type,decision_time,csv_delay_time,actual_incremental_delay,applied_nores_delay,delay_source,nores_makespan,dynamic_makespan_after_event,nores_minus_dynamic,target_task,t1,t2,earlier_task,later_task,order_base_duration,order_required_task_actual_duration,order_wrong_first_task_actual_duration,order_later_standard_duration,order_compensation_upper,released_previous_delay,observed_order_extra_delay
20260616_163957,1,delay,14.85866117,2.9619,2.97,0,real_gantt_duration_synchronized,76.64,76.77,-0.13,5,,,,,,,,,,,
20260616_163957,2,delay,28.0503931,2.9619,2.97,0,real_gantt_duration_synchronized,76.8,77.03,-0.23,9,,,,,,,,,,,
20260616_163957,4,delay,36.47433209,1.797,1.8,0,real_gantt_duration_synchronized,76.95,77.19,-0.24,10,,,,,,,,,,,
20260616_163957,5,delay,55.80129027,1.7319,1.74,0,real_gantt_duration_synchronized,74.62,74.26,0.36,18,,,,,,,,,,,
20260616_163957,8,delay,71.20373511,1.8096,1.81,0,real_gantt_duration_synchronized,76.864,73,3.864,22,,,,,,,,,,,
20260616_163957,9,delay,73.05570626,3.6192,3.62,0,real_gantt_duration_synchronized,80.484,76.62,3.864,22,,,,,,,,,,,
20260616_165213,1,delay,16.38407826,1.797,1.8,0,real_gantt_duration_synchronized,73.41,73.55,-0.14,8,,,,,,,,,,,
20260616_165213,2,delay,18.20121956,3.594,3.6,0,real_gantt_duration_synchronized,77.01,77.14,-0.13,8,,,,,,,,,,,
20260616_165213,5,delay,41.34374404,1.79,1.79,0,real_gantt_duration_synchronized,77.9838,72.49,5.4938,14,,,,,,,,,,,
20260616_165213,7,delay,55.43666863,1.7319,1.74,0,real_gantt_duration_synchronized,75.6238,70.3,5.3238,18,,,,,,,,,,,
20260616_165213,8,delay,62.2712574,2.9619,2.97,0,real_gantt_duration_synchronized,78.5938,72.36,6.2338,21,,,,,,,,,,,
20260616_165213,9,delay,67.27286363,1.8096,1.81,0,real_gantt_duration_synchronized,78.7838,72.64,6.1438,22,,,,,,,,,,,
20260616_165213,10,delay,72.49633455,1.797,1.8,0,real_gantt_duration_synchronized,80.2938,74.21,6.0838,23,,,,,,,,,,,
20260617_161127,1,delay,17.06050491,1.797,1.8,0,real_gantt_duration_synchronized,74.19,74.25,-0.06,8,,,,,,,,,,,
20260617_161127,3,delay,29.5310986,1.7319,1.74,0,real_gantt_duration_synchronized,78.0238,73.81,4.2138,12,,,,,,,,,,,
20260617_161127,4,delay,31.2549665,3.4638,3.46,0,real_gantt_duration_synchronized,81.4838,77.27,4.2138,12,,,,,,,,,,,
20260617_161127,6,delay,47.69979,1.79,1.79,0,real_gantt_duration_synchronized,80.9076,75.56,5.3476,14,,,,,,,,,,,
20260617_161127,7,delay,56.86510372,1.7319,1.74,0,real_gantt_duration_synchronized,80.5876,75.31,5.2776,18,,,,,,,,,,,
