case_id,num_events,offline_makespan,final_nores_makespan,final_dynamic_makespan,final_nores_minus_dynamic,dynamic_final_better,nores_final_better,tie,comparison_rule,tie_tolerance_seconds,final_comparison_png,output_dir
20260618_145723,0,72.63,67.78,67.79,-0.01,0,0,1,no_failure_tolerance,0.1,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260618_145723\comparison_gantt.png,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260618_145723
20260618_151245,0,72.63,67.89,67.91,-0.02,0,0,1,no_failure_tolerance,0.1,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260618_151245\comparison_gantt.png,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260618_151245
20260621_172052,0,72.63,67.72,67.72,0,0,0,1,no_failure_tolerance,0.1,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260621_172052\comparison_gantt.png,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260621_172052
20260621_175246,0,72.63,67.92,67.96,-0.04,0,0,1,no_failure_tolerance,0.1,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260621_175246\comparison_gantt.png,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260621_175246
20260621_193120,0,72.63,68.39,68.42,-0.03,0,0,1,no_failure_tolerance,0.1,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260621_193120\comparison_gantt.png,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260621_193120
20260621_170757,1,72.63,67.85,65.35,2.5,1,0,0,failure_case_exact_difference,0,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260621_170757\comparison_gantt.png,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260621_170757
20260621_171234,1,72.63,67.93,65.52,2.41,1,0,0,failure_case_exact_difference,0,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260621_171234\comparison_gantt.png,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260621_171234
20260621_171649,1,72.63,67.84,65.87,1.97,1,0,0,failure_case_exact_difference,0,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260621_171649\comparison_gantt.png,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260621_171649
20260621_172604,1,72.63,67.71,63.7,4.01,1,0,0,failure_case_exact_difference,0,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260621_172604\comparison_gantt.png,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260621_172604
20260621_185411,1,72.63,68.34,67.65,0.69,1,0,0,failure_case_exact_difference,0,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260621_185411\comparison_gantt.png,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260621_185411
20260621_212643,1,72.63,67.85,66.56,1.29,1,0,0,failure_case_exact_difference,0,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260621_212643\comparison_gantt.png,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260621_212643
20260621_222707,1,72.63,68.34,68.64,-0.3,0,1,0,failure_case_exact_difference,0,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260621_222707\comparison_gantt.png,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260621_222707
20260617_170056,2,72.63,67.89,66.65,1.24,1,0,0,failure_case_exact_difference,0,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260617_170056\comparison_gantt.png,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260617_170056
20260618_150754,2,72.63,68.39,68.43,-0.04,0,1,0,failure_case_exact_difference,0,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260618_150754\comparison_gantt.png,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260618_150754
20260618_175053,2,72.63,67.81,68.72,-0.91,0,1,0,failure_case_exact_difference,0,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260618_175053\comparison_gantt.png,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260618_175053
20260618_182135,2,72.63,68.3,69.1,-0.8,0,1,0,failure_case_exact_difference,0,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260618_182135\comparison_gantt.png,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260618_182135
20260621_174256,2,72.63,72.9992,69.32,3.6792,1,0,0,failure_case_exact_difference,0,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260621_174256\comparison_gantt.png,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260621_174256
20260621_184824,2,72.63,68.07,63.33,4.74,1,0,0,failure_case_exact_difference,0,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260621_184824\comparison_gantt.png,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260621_184824
20260621_191926,2,72.63,71.26,70.47,0.79,1,0,0,failure_case_exact_difference,0,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260621_191926\comparison_gantt.png,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260621_191926
20260617_165310,3,72.63,67.98,66.1,1.88,1,0,0,failure_case_exact_difference,0,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260617_165310\comparison_gantt.png,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260617_165310
20260617_224021,3,72.63,67.99,70.45,-2.46,0,1,0,failure_case_exact_difference,0,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260617_224021\comparison_gantt.png,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260617_224021
20260618_144336,3,72.63,68.09,65.14,2.95,1,0,0,failure_case_exact_difference,0,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260618_144336\comparison_gantt.png,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260618_144336
20260621_192651,3,72.63,70.9592,65.61,5.3492,1,0,0,failure_case_exact_difference,0,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260621_192651\comparison_gantt.png,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260621_192651
20260621_222241,3,72.63,70.31,66.91,3.4,1,0,0,failure_case_exact_difference,0,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260621_222241\comparison_gantt.png,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260621_222241
20260617_161833,4,72.63,75.5938,75.59,0.0038,1,0,0,failure_case_exact_difference,0,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260617_161833\comparison_gantt.png,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260617_161833
20260617_164554,4,72.63,69.87,68.82,1.05,1,0,0,failure_case_exact_difference,0,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260617_164554\comparison_gantt.png,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260617_164554
20260617_225645,4,72.63,75.8538,81.77,-5.9162,0,1,0,failure_case_exact_difference,0,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260617_225645\comparison_gantt.png,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260617_225645
20260618_143804,4,72.63,68.04,66.23,1.81,1,0,0,failure_case_exact_difference,0,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260618_143804\comparison_gantt.png,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260618_143804
20260618_175805,4,72.63,69.53,72.61,-3.08,0,1,0,failure_case_exact_difference,0,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260618_175805\comparison_gantt.png,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260618_175805
20260618_180614,4,72.63,85.1592,81.6,3.5592,1,0,0,failure_case_exact_difference,0,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260618_180614\comparison_gantt.png,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260618_180614
20260621_183749,4,72.63,70.4238,66.71,3.7138,1,0,0,failure_case_exact_difference,0,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260621_183749\comparison_gantt.png,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260621_183749
