case_id,human_idle_nores,human_idle_nores_ratio,human_idle_dynamic,human_idle_dynamic_ratio,human_idle_ratio_diff_nores_minus_dynamic,human_nores_idle_ratio_higher,robot_idle_nores,robot_idle_nores_ratio,robot_idle_dynamic,robot_idle_dynamic_ratio,robot_idle_ratio_diff_nores_minus_dynamic,robot_nores_idle_ratio_higher
20260616_163957,2.59,0.03,3.94,0.05,-0.02,0,29.38,0.37,22.64,0.31,0.06,1
20260616_165213,3.21,0.04,5.26,0.07,-0.03,0,29.16,0.36,23.09,0.31,0.05,1
20260617_161127,2.9,0.03,3.37,0.04,-0.01,0,46.26,0.48,41.13,0.45,0.03,1
20260617_161833,3.79,0.05,11.8,0.16,-0.11,0,24.49,0.32,14.94,0.2,0.12,1
20260617_162610,2.12,0.02,2.61,0.03,-0.01,0,44.41,0.46,24.7,0.29,0.17,1
20260617_163225,0.73,0.01,9.46,0.11,-0.1,0,33.21,0.39,24.08,0.29,0.1,1
20260617_163852,3.39,0.04,17.2,0.2,-0.16,0,28.19,0.36,16.79,0.2,0.16,1
20260617_164554,7.19,0.1,6.16,0.09,0.01,1,18.77,0.27,17.72,0.26,0.01,1
20260617_165310,6.09,0.09,4.22,0.06,0.03,1,16.88,0.25,14.98,0.23,0.02,1
20260617_170056,8.47,0.12,7.25,0.11,0.01,1,16.79,0.25,15.52,0.23,0.02,1
20260617_170735,4.85,0.07,6.35,0.09,-0.02,0,20.18,0.28,18.57,0.27,0.01,1
20260617_214847,0,0,0.53,0.01,-0.01,0,51.62,0.5,41.33,0.45,0.05,1
20260617_215539,0,0,17.34,0.12,-0.12,0,94.16,0.65,60.99,0.41,0.24,1
20260617_220342,0,0,0.64,0,0,0,118.82,0.7,105.98,0.63,0.07,1
20260617_221043,0,0,3.54,0.04,-0.04,0,34.89,0.41,24.72,0.29,0.12,1
20260617_221608,3.3,0.04,10.1,0.12,-0.08,0,31.74,0.38,25.74,0.3,0.08,1
20260617_222235,0.47,0,2.14,0.02,-0.02,0,92.79,0.64,69.88,0.51,0.13,1
20260617_223549,3.51,0.03,6.15,0.06,-0.03,0,50.71,0.5,53.36,0.51,-0.01,0
20260617_224021,11,0.16,13.48,0.19,-0.03,0,16.89,0.25,19.34,0.27,-0.02,0
20260617_224555,0,0,6.44,0.08,-0.08,0,30.35,0.37,23.92,0.28,0.09,1
20260617_225121,1.7,0.02,3.26,0.04,-0.02,0,31.35,0.38,32.92,0.39,-0.01,0
20260617_225645,2.24,0.03,11.63,0.14,-0.11,0,24.75,0.33,21.31,0.26,0.07,1
20260617_230214,1.33,0.02,4.94,0.07,-0.05,0,23.24,0.31,20.98,0.29,0.02,1
20260618_143804,6.68,0.1,4.85,0.07,0.03,1,16.94,0.25,15.11,0.23,0.02,1
20260618_144336,12.45,0.18,12.87,0.2,-0.02,0,16.99,0.25,14.05,0.22,0.03,1
20260618_144802,3.88,0.05,5.5,0.08,-0.03,0,25.66,0.33,17.43,0.25,0.08,1
20260618_145303,10.21,0.11,10.42,0.12,-0.01,0,40.62,0.44,27.75,0.31,0.13,1
20260618_145723,16.73,0.25,16.76,0.25,0,0,16.68,0.25,16.68,0.25,0,0
20260618_150321,3.49,0.03,5.41,0.05,-0.02,0,49.94,0.49,39,0.39,0.1,1
20260618_150754,14.54,0.21,14.68,0.21,0,0,17.29,0.25,17.32,0.25,0,0
20260618_151245,16.64,0.25,16.65,0.25,0,0,16.79,0.25,16.82,0.25,0,0
20260618_153051,2.86,0.03,11.26,0.12,-0.09,0,54.28,0.52,37.05,0.38,0.14,1
20260618_153713,5.9,0.08,8.62,0.11,-0.03,0,22.2,0.3,24.9,0.33,-0.03,0
20260618_154903,2.95,0.03,11.13,0.12,-0.09,0,38.44,0.43,21.97,0.24,0.19,1
20260618_155540,3.66,0.04,7.12,0.09,-0.05,0,30.73,0.38,19.7,0.25,0.13,1
20260618_171939,0.15,0,6.2,0.06,-0.06,0,48.75,0.49,28.5,0.29,0.2,1
20260618_172550,1.11,0.01,1.83,0.02,-0.01,0,53.99,0.51,41.95,0.41,0.1,1
20260618_173434,2.14,0.02,2.75,0.03,-0.01,0,52.78,0.51,40.71,0.4,0.11,1
20260618_174248,2.5,0.03,4.64,0.06,-0.03,0,31.81,0.38,21.4,0.26,0.12,1
20260618_175053,6.31,0.09,10.79,0.16,-0.07,0,16.71,0.25,17.63,0.26,-0.01,0
20260618_175805,3.83,0.06,6.94,0.1,-0.04,0,18.43,0.27,21.5,0.3,-0.03,0
20260618_180614,10.22,0.12,10.24,0.13,-0.01,0,34.06,0.4,20.35,0.25,0.15,1
20260618_182135,5.19,0.08,10.45,0.15,-0.07,0,17.2,0.25,17.99,0.26,-0.01,0
20260618_182902,6.61,0.08,4.68,0.06,0.02,1,35.84,0.41,21.77,0.27,0.14,1
20260618_183455,3.84,0.04,4.17,0.05,-0.01,0,36,0.41,23.06,0.27,0.14,1
20260621_170757,5.69,0.08,3.18,0.05,0.03,1,16.75,0.25,14.27,0.22,0.03,1
20260621_171234,5.23,0.08,2.82,0.04,0.04,1,16.83,0.25,14.4,0.22,0.03,1
20260621_171649,9.74,0.14,7.74,0.12,0.02,1,16.74,0.25,14.79,0.22,0.03,1
20260621_172052,7.66,0.11,7.65,0.11,0,0,16.62,0.25,16.63,0.25,0,0
20260621_172604,9.96,0.15,5.95,0.09,0.06,1,16.61,0.25,12.58,0.2,0.05,1
20260621_173643,1.16,0.02,1.75,0.03,-0.01,0,22.85,0.31,16.48,0.24,0.07,1
20260621_174256,7.67,0.11,7.92,0.11,0,0,21.9,0.3,18.21,0.26,0.04,1
20260621_174800,1.24,0.02,2,0.03,-0.01,0,27.35,0.35,28.1,0.35,0,0
20260621_175246,7,0.1,7,0.1,0,0,16.82,0.25,16.87,0.25,0,0
20260621_180040,1.8,0.02,2.96,0.03,-0.01,0,42.99,0.46,44.15,0.46,0,0
20260621_183301,2.97,0.04,5.3,0.07,-0.03,0,30.54,0.37,19.35,0.24,0.13,1
20260621_183749,1.32,0.02,1.97,0.03,-0.01,0,19.32,0.27,15.61,0.23,0.04,1
20260621_184824,6.19,0.09,6.09,0.1,-0.01,0,16.97,0.25,12.2,0.19,0.06,1
20260621_185411,6.56,0.1,9.52,0.14,-0.04,0,17.24,0.25,16.55,0.24,0.01,1
20260621_191117,1.8,0.02,5,0.06,-0.04,0,27.31,0.35,17.69,0.23,0.12,1
20260621_191926,0,0,3.53,0.05,-0.05,0,20.16,0.28,19.39,0.28,0,0
20260621_192651,5.37,0.08,4.24,0.06,0.02,1,19.86,0.28,14.52,0.22,0.06,1
20260621_193120,13.78,0.2,13.84,0.2,0,0,17.29,0.25,17.32,0.25,0,0
20260621_193635,2.42,0.03,2.92,0.04,-0.01,0,18.97,0.27,19.47,0.28,-0.01,0
20260621_212643,10.26,0.15,8.95,0.13,0.02,1,16.75,0.25,15.47,0.23,0.02,1
20260621_213147,1.51,0.02,2.17,0.03,-0.01,0,20.83,0.29,21.5,0.3,-0.01,0
20260621_214416,1.7,0.02,5.7,0.07,-0.05,0,29.68,0.37,20.84,0.26,0.11,1
20260621_214951,2.56,0.03,6.97,0.09,-0.06,0,26.49,0.34,13.39,0.18,0.16,1
20260621_220456,3.02,0.04,4.41,0.05,-0.01,0,30.15,0.37,31.54,0.38,-0.01,0
20260621_220936,4.65,0.05,11.53,0.12,-0.07,0,42.37,0.45,35.99,0.37,0.08,1
20260621_221335,1.17,0.02,4.16,0.06,-0.04,0,21.33,0.29,24.3,0.32,-0.03,0
20260621_221747,0.62,0.01,1.5,0.02,-0.01,0,19.06,0.27,19.93,0.28,-0.01,0
20260621_222241,2.06,0.03,2.7,0.04,-0.01,0,19.21,0.27,15.8,0.24,0.03,1
20260621_222707,9.7,0.14,10.04,0.15,-0.01,0,17.24,0.25,17.54,0.26,-0.01,0
20260621_223136,0,0,3.6,0.04,-0.04,0,31.3,0.38,22.42,0.27,0.11,1
20260621_223602,2.92,0.04,9.48,0.12,-0.08,0,25.3,0.33,19.61,0.25,0.08,1
,,,,,,11,,,,,,54
