step_idx,failure_type,decision_time,csv_delay_time,actual_incremental_delay,applied_nores_delay,delay_source,human_time_mode,delay_extra_total,delay_actual_duration,simulated_duration_after_event,nores_makespan,dynamic_makespan_after_event,nores_minus_dynamic,target_task,t1,t2,earlier_task,later_task,order_base_duration,order_required_task_actual_duration,order_wrong_first_task_actual_duration,order_later_standard_duration,order_later_simulated_duration,order_later_duration_source,order_has_delay,compensation_mode,compensation_value,applied_compensation,compensation_base_duration,compensation_base_source,compensation_upper,order_fixed_compensation,order_compensation_upper,released_previous_delay,observed_order_extra_delay
1,delay,7.653554677963257,1.8096,1.8099999999999996,1.8099999999999996,human_delay_task_uses_real_observed_duration,standard,,5.43,5.43,74.3464,74.35,-0.00359999999999161,3,,,,,,,,,,,,fixed,3.39,,,,,,,,
2,delay,18.279013633728027,1.797,1.7999999999999998,1.7999999999999998,human_delay_task_uses_real_observed_duration,standard,,5.39,5.39,75.4294,75.46,-0.030599999999992633,8,,,,,,,,,,,,fixed,3.39,,,,,,,,
3,delay,20.070070505142212,3.594,3.6000000000000005,3.6000000000000005,human_delay_task_uses_real_observed_duration,standard,,8.99,8.99,79.0294,79.06,-0.030600000000006844,8,,,,,,,,,,,,fixed,3.39,,,,,,,,
4,delay,23.653459787368774,7.188,7.1800000000000015,7.1800000000000015,human_delay_task_uses_real_observed_duration,standard,,16.17,16.17,86.2094,83.88,2.329400000000007,8,,,,,,,,,,,,fixed,3.39,,,,,,,,
5,delay,42.23275947570801,1.797,1.7999999999999998,1.7999999999999998,human_delay_task_uses_real_observed_duration,standard,,5.39,5.39,85.5754,86.43,-0.8546000000000049,10,,,,,,,,,,,,fixed,3.39,,,,,,,,
6,delay,44.04948711395264,3.594,3.5900000000000007,3.5900000000000007,human_delay_task_uses_real_observed_duration,standard,,8.98,8.98,89.16539999999999,90.02,-0.8546000000000049,10,,,,,,,,,,,,fixed,3.39,,,,,,,,
7,delay,47.61713647842407,7.188,7.190000000000001,7.190000000000001,human_delay_task_uses_real_observed_duration,standard,,16.17,16.17,96.3554,95.0,1.355400000000003,10,,,,,,,,,,,,fixed,3.39,,,,,,,,
8,delay,54.84334897994995,7.188,7.189999999999998,7.189999999999998,human_delay_task_uses_real_observed_duration,standard,,23.36,23.36,103.5454,100.93,2.615399999999994,10,,,,,,,,,,,,fixed,3.39,,,,,,,,
9,delay,67.60051155090332,1.79,1.79,1.79,human_delay_task_uses_real_observed_duration,standard,,5.37,5.37,101.1654,98.82,2.345400000000012,14,,,,,,,,,,,,fixed,3.39,,,,,,,,
10,delay,69.39955806732178,3.58,3.579999999999999,3.579999999999999,human_delay_task_uses_real_observed_duration,standard,,8.95,8.95,104.7454,102.4,2.345399999999998,14,,,,,,,,,,,,fixed,3.39,,,,,,,,
11,delay,81.37030363082886,1.7319,1.7400000000000002,1.7400000000000002,human_delay_task_uses_real_observed_duration,standard,,5.2,5.2,103.88159999999999,99.79,4.0915999999999855,18,,,,,,,,,,,,fixed,3.39,,,,,,,,
12,delay,83.07627630233765,3.4638,3.46,3.46,human_delay_task_uses_real_observed_duration,standard,,8.66,8.66,107.34159999999999,103.25,4.0915999999999855,18,,,,,,,,,,,,fixed,3.39,,,,,,,,
