title: Offline optimal schedule
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.99           3.99
       3       human           3.99           7.61           3.62
       4       robot           0.00           7.71           7.71
       5       human           7.71          13.63           5.92
       7       robot           7.71          15.94           8.23
       8       human          13.63          17.22           3.59
       6       human          17.22          20.69           3.46
       9       human          20.69          26.61           5.92
      10       human          26.61          30.20           3.59
      11       robot          20.23          28.61           8.38
      12       human          30.20          33.67           3.46
      13       human          33.67          39.59           5.92
      14       human          39.59          43.17           3.58
      16       robot          32.54          41.59           9.06
      15       human          43.17          46.51           3.34
      17       human          46.51          52.43           5.92
      18       human          52.43          55.90           3.46
      19       human          55.90          59.49           3.59
      20       robot          45.91          54.43           8.52
      21       human          59.49          65.42           5.92
      22       human          65.42          69.03           3.62
      23       human          69.03          72.63           3.59
      24       robot          58.21          67.42           9.20
                                         makespan:          72.63

title: Final no rescheduling
 task ID       agent     start_time    finish_time       duration
       1       human           0.00           0.00           0.00
       2       human           0.00           3.99           3.99
       3       human           3.99           7.61           3.62
       4       robot           0.00           8.73           8.73
       5       human           8.73          14.65           5.92
       7       robot           8.73          17.31           8.58
       8       human          14.65          19.01           4.36
       6       human          19.01          22.48           3.46
       9       human          22.48          28.40           5.92
      10       human          28.40          33.07           4.67
      11       robot          20.23          30.40          10.17
      12       human          33.07          36.54           3.46
      13       human          36.54          42.46           5.92
      14       human          42.46          47.27           4.81
      16       robot          32.54          44.46          11.92
      15       human          47.27          50.61           3.34
      17       human          50.61          56.53           5.92
      18       human          56.53          59.99           3.46
      19       human          59.99          63.59           3.59
      20       robot          45.91          58.53          12.62
      21       human          63.59          69.51           5.92
      22       human          69.51          73.13           3.62
      23       human          73.13          77.37           4.24
      24       robot          58.53          71.51          12.98
                                         makespan:          77.37

title: Final dynamic timeline
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.28           3.28
       3       human           3.30           6.33           3.03
       4       robot           0.00           8.73           8.73
       5       human           8.73          13.69           4.96
       7       robot           8.75          17.33           8.58
       8       human          13.71          18.07           4.36
       6       human          18.10          20.48           2.39
       9       human          20.55          25.86           5.31
      10       human          25.90          30.58           4.67
      11       robot          22.12          31.73           9.61
      12       human          30.60          33.42           2.82
      13       human          33.49          39.25           5.76
      14       human          39.29          44.11           4.81
      16       robot          33.68          44.65          10.96
      15       human          44.12          46.28           2.16
      17       human          46.33          51.98           5.65
      18       human          52.00          55.24           3.24
      19       human          55.26          58.41           3.15
      20       robot          47.42          56.93           9.51
      21       human          58.48          63.51           5.03
      22       human          63.53          66.32           2.79
      23       human          66.34          70.58           4.24
      24       robot          59.75          69.59           9.84
                                         makespan:          70.58

