case_id,step_idx,failure_type,decision_time,csv_delay_time,actual_incremental_delay,applied_nores_delay,delay_source,human_time_mode,delay_extra_total,simulated_duration_after_event,nores_makespan,dynamic_makespan_after_event,nores_minus_dynamic,target_task,t1,t2,earlier_task,later_task,order_base_duration,order_required_task_actual_duration,order_wrong_first_task_actual_duration,order_later_standard_duration,order_compensation_upper,released_previous_delay,observed_order_extra_delay
20260616_163957,1,delay,14.85866117,2.9619,2.97,2.97,human_delay_task_uses_real_observed_duration,standard,,8.89,76.6796,76.77,-0.0904,5,,,,,,,,,,,
20260616_163957,2,delay,28.0503931,2.9619,2.97,2.97,human_delay_task_uses_real_observed_duration,standard,,8.89,78.0858,77.03,1.0558,9,,,,,,,,,,,
20260616_163957,3,order,32.83681321,0,0,3.39,order_wrong_first_actual_plus_fixed_3.39_on_earlier_task,standard,,,79.6918,75.39,4.3018,10,10,12,10,12,3.28,3.594,3.28,3.4638,3.39,0.18,0
20260616_163957,4,delay,36.47433209,1.797,1.8,1.8,human_delay_task_uses_real_observed_duration,standard,,5.39,78.4118,77.19,1.2218,10,,,,,,,,,,,
20260616_163957,5,delay,55.80129027,1.7319,1.74,1.74,human_delay_task_uses_real_observed_duration,standard,,5.2,80.148,74.26,5.888,18,,,,,,,,,,,
20260616_163957,6,order,56.86360765,0,0.94,3.39,order_wrong_first_actual_plus_fixed_3.39_on_earlier_task,standard,,,82.868,73.46,9.408,18,18,19,18,19,4.53,3.46,4.53,3.594,3.39,1.74,0.94
20260616_163957,7,order,67.5703814,0,0,3.39,order_wrong_first_actual_plus_fixed_3.39_on_earlier_task,standard,,,85.6888,71.19,14.4988,22,22,23,22,23,3.05,3.6192,3.05,3.594,3.39,0.54,0
20260616_163957,8,delay,71.20373511,1.8096,1.81,1.81,human_delay_task_uses_real_observed_duration,standard,,5.43,84.6788,73,11.6788,22,,,,,,,,,,,
20260616_163957,9,delay,73.05570626,3.6192,3.62,3.62,human_delay_task_uses_real_observed_duration,standard,,9.05,88.2988,76.62,11.6788,22,,,,,,,,,,,
20260616_165213,1,delay,16.38407826,1.797,1.8,1.8,human_delay_task_uses_real_observed_duration,standard,,5.39,75.9094,73.55,2.3594,8,,,,,,,,,,,
20260616_165213,2,delay,18.20121956,3.594,3.6,3.6,human_delay_task_uses_real_observed_duration,standard,,8.99,79.5094,77.14,2.3694,8,,,,,,,,,,,
20260616_165213,3,order,20.06559587,0,3.86,3.39,order_wrong_first_actual_plus_fixed_3.39_on_earlier_task,standard,,,81.2294,75.6,5.6294,8,8,6,8,6,7.32,3.59,7.32,3.4638,3.39,5.4,3.86
20260616_165213,4,order,28.87502646,0,0,3.39,order_wrong_first_actual_plus_fixed_3.39_on_earlier_task,standard,,,83.2454,71.43,11.8154,10,10,12,10,12,2.22,3.594,2.22,3.4638,3.39,1.24,0
20260616_165213,5,delay,41.34374404,1.79,1.79,1.79,human_delay_task_uses_real_observed_duration,standard,,5.37,85.0354,72.49,12.5454,14,,,,,,,,,,,
20260616_165213,6,order,51.9700067,0,0,3.39,order_wrong_first_actual_plus_fixed_3.39_on_earlier_task,standard,,,87.9016,68.57,19.3316,18,18,19,18,19,3.04,3.4638,3.04,3.594,3.39,0.55,0
20260616_165213,7,delay,55.43666863,1.7319,1.74,1.74,human_delay_task_uses_real_observed_duration,standard,,5.2,86.6716,70.3,16.3716,18,,,,,,,,,,,
20260616_165213,8,delay,62.2712574,2.9619,2.97,2.97,human_delay_task_uses_real_observed_duration,standard,,8.89,89.6378,72.36,17.2778,21,,,,,,,,,,,
20260616_165213,9,delay,67.27286363,1.8096,1.81,1.81,human_delay_task_uses_real_observed_duration,standard,,5.43,89.8286,72.64,17.1886,22,,,,,,,,,,,
20260616_165213,10,delay,72.49633455,1.797,1.8,1.8,human_delay_task_uses_real_observed_duration,standard,,5.39,91.3346,74.21,17.1246,23,,,,,,,,,,,
20260617_161127,1,delay,17.06050491,1.797,1.8,1.8,human_delay_task_uses_real_observed_duration,standard,,5.39,75.2694,74.25,1.0194,8,,,,,,,,,,,
20260617_161127,2,order,17.69330406,0,0.78,3.39,order_wrong_first_actual_plus_fixed_3.39_on_earlier_task,standard,,,77.5094,73.23,4.2794,8,8,6,8,6,4.24,3.59,4.24,3.4638,3.39,1.8,0.78
20260617_161127,3,delay,29.5310986,1.7319,1.74,1.74,human_delay_task_uses_real_observed_duration,standard,,5.2,79.2456,73.81,5.4356,12,,,,,,,,,,,
20260617_161127,4,delay,31.2549665,3.4638,3.46,3.46,human_delay_task_uses_real_observed_duration,standard,,8.66,82.7056,77.27,5.4356,12,,,,,,,,,,,
20260617_161127,5,order,33.82336855,0,4.18,3.39,order_wrong_first_actual_plus_fixed_3.39_on_earlier_task,standard,,,80.7654,76.25,4.5154,10,12,10,10,12,3.46,3.594,3.46,3.4638,3.39,5.2,4.18
20260617_161127,6,delay,47.69979,1.79,1.79,1.79,human_delay_task_uses_real_observed_duration,standard,,5.37,82.5554,75.56,6.9954,14,,,,,,,,,,,
20260617_161127,7,delay,56.86510372,1.7319,1.74,1.74,human_delay_task_uses_real_observed_duration,standard,,5.2,83.1516,75.31,7.8416,18,,,,,,,,,,,
20260617_161127,8,delay,58.63023138,3.4638,3.46,3.46,human_delay_task_uses_real_observed_duration,standard,,8.66,86.6116,78.78,7.8316,18,,,,,,,,,,,
20260617_161127,9,delay,63.1844945,1.797,1.8,1.8,human_delay_task_uses_real_observed_duration,standard,,5.39,85.8676,78.07,7.7976,19,,,,,,,,,,,
20260617_161127,10,delay,64.96764374,3.594,3.59,3.59,human_delay_task_uses_real_observed_duration,standard,,8.98,89.4576,81.66,7.7976,19,,,,,,,,,,,
20260617_161127,11,delay,68.59298873,7.188,7.19,7.19,human_delay_task_uses_real_observed_duration,standard,,16.17,96.6476,88.85,7.7976,19,,,,,,,,,,,
20260617_161127,12,delay,75.27417135,2.9619,2.97,2.97,human_delay_task_uses_real_observed_duration,standard,,8.89,93.1438,85.41,7.7338,21,,,,,,,,,,,
20260617_161127,13,delay,78.20522141,5.9238,5.92,5.92,human_delay_task_uses_real_observed_duration,standard,,14.81,99.0638,91.33,7.7338,21,,,,,,,,,,,
20260617_161127,14,delay,84.15811777,11.8476,11.85,11.85,human_delay_task_uses_real_observed_duration,standard,,26.66,110.9138,103.18,7.7338,21,,,,,,,,,,,
20260617_161127,15,delay,88.99324441,1.797,1.8,1.8,human_delay_task_uses_real_observed_duration,standard,,5.39,102.0698,94.37,7.6998,23,,,,,,,,,,,
20260617_161833,1,order,16.97418499,0,0,3.39,order_wrong_first_actual_plus_fixed_3.39_on_earlier_task,standard,,,77.2496,72.38,4.8696,6,6,8,6,8,3.2,3.4638,3.2,3.594,3.39,0.39,0
20260617_161833,2,delay,27.65761161,1.797,1.8,1.8,human_delay_task_uses_real_observed_duration,standard,,5.39,79.0456,71.83,7.2156,10,,,,,,,,,,,
20260617_161833,3,delay,29.43282485,3.594,3.59,3.59,human_delay_task_uses_real_observed_duration,standard,,8.98,82.6356,75.43,7.2056,10,,,,,,,,,,,
20260617_161833,4,delay,33.04237652,7.188,7.19,7.19,human_delay_task_uses_real_observed_duration,standard,,16.17,89.8256,80.28,9.5456,10,,,,,,,,,,,
20260617_162610,1,delay,17.85397887,1.797,1.8,1.8,human_delay_task_uses_real_observed_duration,standard,,5.39,75.6994,74.98,0.7194,8,,,,,,,,,,,
20260617_162610,2,order,18.65743828,0,1.01,3.39,order_wrong_first_actual_plus_fixed_3.39_on_earlier_task,standard,,,78.1694,74.19,3.9794,8,8,6,8,6,4.47,3.59,4.47,3.4638,3.39,1.8,1.01
20260617_162610,3,delay,30.43992329,1.797,1.8,1.8,human_delay_task_uses_real_observed_duration,standard,,5.39,79.9654,74.65,5.3154,10,,,,,,,,,,,
20260617_162610,4,order,31.89905,0,1.6,3.39,order_wrong_first_actual_plus_fixed_3.39_on_earlier_task,standard,,,83.0254,74.45,8.5754,10,10,12,10,12,5.06,3.59,5.06,3.4638,3.39,1.8,1.6
20260617_162610,5,delay,42.73430181,1.79,1.79,1.79,human_delay_task_uses_real_observed_duration,standard,,5.37,84.8154,73.96,10.8554,14,,,,,,,,,,,
