case_id,num_events,offline_makespan,final_nores_makespan,final_dynamic_makespan,final_nores_minus_dynamic,dynamic_final_better,nores_final_better,tie,comparison_rule,tie_tolerance_seconds,final_comparison_png,output_dir
20260618_145723,0,72.63,74.0334,67.79,6.2434,1,0,0,no_failure_tolerance,0.1,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260618_145723\comparison_gantt.png,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260618_145723
20260618_151245,0,72.63,73.5434,67.91,5.6334,1,0,0,no_failure_tolerance,0.1,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260618_151245\comparison_gantt.png,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260618_151245
20260621_172052,0,72.63,74.1334,67.72,6.4134,1,0,0,no_failure_tolerance,0.1,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260621_172052\comparison_gantt.png,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260621_172052
20260621_175246,0,72.63,73.6334,67.96,5.6734,1,0,0,no_failure_tolerance,0.1,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260621_175246\comparison_gantt.png,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260621_175246
20260621_193120,0,72.63,73.8334,68.42,5.4134,1,0,0,no_failure_tolerance,0.1,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260621_193120\comparison_gantt.png,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260621_193120
20260621_170757,1,72.63,74.9034,65.35,9.5534,1,0,0,failure_case_exact_difference,0,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260621_170757\comparison_gantt.png,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260621_170757
20260621_171234,1,72.63,74.2234,65.52,8.7034,1,0,0,failure_case_exact_difference,0,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260621_171234\comparison_gantt.png,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260621_171234
20260621_171649,1,72.63,74.5496,65.87,8.6796,1,0,0,failure_case_exact_difference,0,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260621_171649\comparison_gantt.png,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260621_171649
20260621_172604,1,72.63,74.7134,63.7,11.0134,1,0,0,failure_case_exact_difference,0,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260621_172604\comparison_gantt.png,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260621_172604
20260621_185411,1,72.63,76.7894,67.65,9.1394,1,0,0,failure_case_exact_difference,0,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260621_185411\comparison_gantt.png,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260621_185411
20260621_212643,1,72.63,74.2494,66.56,7.6894,1,0,0,failure_case_exact_difference,0,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260621_212643\comparison_gantt.png,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260621_212643
20260621_222707,1,72.63,74.2034,68.64,5.5634,1,0,0,failure_case_exact_difference,0,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260621_222707\comparison_gantt.png,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260621_222707
