case_id,status,error,num_events,offline_makespan,initial_offline_best_cost,initial_real_nores_baseline_makespan,final_nores_makespan,final_dynamic_makespan,final_nores_minus_dynamic,human_time_mode,events_csv,gantt_txt,output_dir,summary_csv,comparison_gantt_data,event_delay_report,final_comparison_png
20260616_163957,ok,,9,72.63,72.63,72.6334,88.29879999999999,73.74,14.55879999999999,standard,C:\Users\c2466\Desktop\task_monitor\data\dynamic_events_20260616_163957.csv,C:\Users\c2466\Desktop\task_monitor\data\gantt_data_20260616_163957.txt,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260616_163957,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260616_163957\real_nores_summary.csv,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260616_163957\comparison_gantt_data.txt,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260616_163957\real_event_delay_report.csv,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260616_163957\comparison_gantt.png
20260616_165213,ok,,10,72.63,72.63,72.6334,91.3046,74.18,17.124599999999987,standard,C:\Users\c2466\Desktop\task_monitor\data\dynamic_events_20260616_165213.csv,C:\Users\c2466\Desktop\task_monitor\data\gantt_data_20260616_165213.txt,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260616_165213,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260616_165213\real_nores_summary.csv,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260616_165213\comparison_gantt_data.txt,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260616_165213\real_event_delay_report.csv,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260616_165213\comparison_gantt.png
20260617_161127,ok,,15,72.63,72.63,72.6334,100.93980000000002,92.22,8.71980000000002,standard,C:\Users\c2466\Desktop\task_monitor\data\dynamic_events_20260617_161127.csv,C:\Users\c2466\Desktop\task_monitor\data\gantt_data_20260617_161127.txt,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260617_161127,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260617_161127\real_nores_summary.csv,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260617_161127\comparison_gantt_data.txt,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260617_161127\real_event_delay_report.csv,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260617_161127\comparison_gantt.png
20260617_161833,ok,,4,72.63,72.63,72.6334,86.6356,75.59,11.045599999999993,standard,C:\Users\c2466\Desktop\task_monitor\data\dynamic_events_20260617_161833.csv,C:\Users\c2466\Desktop\task_monitor\data\gantt_data_20260617_161833.txt,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260617_161833,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260617_161833\real_nores_summary.csv,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260617_161833\comparison_gantt_data.txt,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260617_161833\real_event_delay_report.csv,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260617_161833\comparison_gantt.png
20260617_162610,ok,,11,72.63,72.63,72.6334,100.89979999999998,84.35,16.54979999999999,standard,C:\Users\c2466\Desktop\task_monitor\data\dynamic_events_20260617_162610.csv,C:\Users\c2466\Desktop\task_monitor\data\gantt_data_20260617_162610.txt,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260617_162610,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260617_162610\real_nores_summary.csv,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260617_162610\comparison_gantt_data.txt,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260617_162610\real_event_delay_report.csv,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260617_162610\comparison_gantt.png
20260617_163225,ok,,10,72.63,72.63,72.6334,91.35459999999999,84.27,7.084599999999995,standard,C:\Users\c2466\Desktop\task_monitor\data\dynamic_events_20260617_163225.csv,C:\Users\c2466\Desktop\task_monitor\data\gantt_data_20260617_163225.txt,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260617_163225,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260617_163225\real_nores_summary.csv,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260617_163225\comparison_gantt_data.txt,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260617_163225\real_event_delay_report.csv,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260617_163225\comparison_gantt.png
20260617_163852,ok,,7,72.63,72.63,72.6334,91.30639999999998,86.08,5.226399999999984,standard,C:\Users\c2466\Desktop\task_monitor\data\dynamic_events_20260617_163852.csv,C:\Users\c2466\Desktop\task_monitor\data\gantt_data_20260617_163852.txt,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260617_163852,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260617_163852\real_nores_summary.csv,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260617_163852\comparison_gantt_data.txt,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260617_163852\real_event_delay_report.csv,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260617_163852\comparison_gantt.png
20260617_164554,ok,,4,72.63,72.63,72.6334,81.03659999999999,68.82,12.2166,standard,C:\Users\c2466\Desktop\task_monitor\data\dynamic_events_20260617_164554.csv,C:\Users\c2466\Desktop\task_monitor\data\gantt_data_20260617_164554.txt,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260617_164554,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260617_164554\real_nores_summary.csv,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260617_164554\comparison_gantt_data.txt,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260617_164554\real_event_delay_report.csv,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260617_164554\comparison_gantt.png
20260617_165310,ok,,3,72.63,72.63,72.6334,77.9516,66.1,11.851600000000005,standard,C:\Users\c2466\Desktop\task_monitor\data\dynamic_events_20260617_165310.csv,C:\Users\c2466\Desktop\task_monitor\data\gantt_data_20260617_165310.txt,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260617_165310,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260617_165310\real_nores_summary.csv,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260617_165310\comparison_gantt_data.txt,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260617_165310\real_event_delay_report.csv,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260617_165310\comparison_gantt.png
20260617_170056,ok,,2,72.63,72.63,72.6334,76.2358,66.65,9.585799999999992,standard,C:\Users\c2466\Desktop\task_monitor\data\dynamic_events_20260617_170056.csv,C:\Users\c2466\Desktop\task_monitor\data\gantt_data_20260617_170056.txt,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260617_170056,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260617_170056\real_nores_summary.csv,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260617_170056\comparison_gantt_data.txt,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260617_170056\real_event_delay_report.csv,C:\Users\c2466\Desktop\task_monitor\batch_nores_outputs_standard\20260617_170056\comparison_gantt.png
