case_id,human_idle_nores,human_idle_nores_ratio,human_idle_dynamic,human_idle_dynamic_ratio,human_idle_ratio_diff_nores_minus_dynamic,human_nores_idle_ratio_higher,robot_idle_nores,robot_idle_nores_ratio,robot_idle_dynamic,robot_idle_dynamic_ratio,robot_idle_ratio_diff_nores_minus_dynamic,robot_nores_idle_ratio_higher
20260616_163957,1.18,0.01,3.94,0.05,-0.04,0,37.21,0.42,22.64,0.31,0.11,1
20260616_165213,1.58,0.02,5.26,0.07,-0.05,0,40.2,0.44,23.09,0.31,0.13,1
20260617_161127,0.94,0.01,3.37,0.04,-0.03,0,49.84,0.49,41.13,0.45,0.04,1
20260617_161833,1.59,0.02,11.8,0.16,-0.14,0,35.54,0.41,14.94,0.2,0.21,1
20260617_162610,1.37,0.01,2.61,0.03,-0.02,0,49.8,0.49,24.7,0.29,0.2,1
20260617_163225,0.68,0.01,9.46,0.11,-0.1,0,40.25,0.44,24.08,0.29,0.15,1
20260617_163852,1.48,0.02,17.2,0.2,-0.18,0,40.21,0.44,16.79,0.2,0.24,1
20260617_164554,1.02,0.01,6.16,0.09,-0.08,0,29.94,0.37,17.72,0.26,0.11,1
20260617_165310,1.43,0.02,4.22,0.06,-0.04,0,26.85,0.34,14.98,0.23,0.11,1
20260617_170056,1.09,0.01,7.25,0.11,-0.1,0,25.14,0.33,15.52,0.23,0.1,1
20260617_170735,1.26,0.02,6.35,0.09,-0.07,0,30.28,0.37,18.57,0.27,0.1,1
20260617_214847,0.0,0.0,0.53,0.01,-0.01,0,55.83,0.52,41.33,0.45,0.07,1
20260617_215539,0.0,0.0,17.34,0.12,-0.12,0,96.29,0.65,60.99,0.41,0.24,1
20260617_220342,0.0,0.0,0.64,0.0,0.0,0,121.06,0.7,105.98,0.63,0.07,1
20260617_221043,0.0,0.0,3.54,0.04,-0.04,0,47.15,0.48,24.72,0.29,0.19,1
20260617_221608,0.97,0.01,10.1,0.12,-0.11,0,45.34,0.47,25.74,0.3,0.17,1
20260617_222235,0.23,0.0,2.14,0.02,-0.02,0,100.92,0.66,69.88,0.51,0.15,1
20260617_223549,1.5,0.01,6.15,0.06,-0.05,0,61.67,0.55,53.36,0.51,0.04,1
20260617_224021,1.08,0.01,13.48,0.19,-0.18,0,27.13,0.35,19.34,0.27,0.08,1
20260617_224555,0.0,0.0,6.44,0.08,-0.08,0,40.12,0.44,23.92,0.28,0.16,1
20260617_225121,1.14,0.01,3.26,0.04,-0.03,0,42.58,0.45,32.92,0.39,0.06,1
20260617_225645,1.42,0.02,11.63,0.14,-0.12,0,39.23,0.43,21.31,0.26,0.17,1
20260617_230214,0.31,0.0,4.94,0.07,-0.07,0,36.68,0.42,20.98,0.29,0.13,1
20260618_143804,1.48,0.02,4.85,0.07,-0.05,0,26.18,0.34,15.11,0.23,0.11,1
20260618_144336,1.35,0.02,12.87,0.2,-0.18,0,25.94,0.34,14.05,0.22,0.12,1
20260618_144802,1.31,0.02,5.5,0.08,-0.06,0,36.19,0.41,17.43,0.25,0.16,1
20260618_145303,1.49,0.01,10.42,0.12,-0.11,0,48.33,0.49,27.75,0.31,0.18,1
20260618_145723,1.5,0.02,16.76,0.25,-0.23,0,22.93,0.31,16.68,0.25,0.06,1
20260618_150321,1.47,0.01,5.41,0.05,-0.04,0,55.64,0.52,39.0,0.39,0.13,1
20260618_150754,1.57,0.02,14.68,0.21,-0.19,0,24.81,0.33,17.32,0.25,0.08,1
20260618_151245,1.01,0.01,16.65,0.25,-0.24,0,22.44,0.31,16.82,0.25,0.06,1
20260618_153051,1.26,0.01,11.26,0.12,-0.11,0,61.86,0.55,37.05,0.38,0.17,1
20260618_153713,1.03,0.01,8.62,0.11,-0.1,0,36.71,0.42,24.9,0.33,0.09,1
20260618_154903,1.24,0.01,11.13,0.12,-0.11,0,50.72,0.5,21.97,0.24,0.26,1
20260618_155540,1.61,0.02,7.12,0.09,-0.07,0,44.98,0.47,19.7,0.25,0.22,1
20260618_171939,0.12,0.0,6.2,0.06,-0.06,0,54.28,0.52,28.5,0.29,0.23,1
20260618_172550,0.31,0.0,1.83,0.02,-0.02,0,59.74,0.54,41.95,0.41,0.13,1
20260618_173434,0.98,0.01,2.75,0.03,-0.02,0,58.33,0.53,40.71,0.4,0.13,1
20260618_174248,1.53,0.02,4.64,0.06,-0.04,0,39.99,0.44,21.4,0.26,0.18,1
20260618_175053,1.09,0.01,10.79,0.16,-0.15,0,26.58,0.34,17.63,0.26,0.08,1
20260618_175805,1.64,0.02,6.94,0.1,-0.08,0,27.83,0.35,21.5,0.3,0.05,1
20260618_180614,1.33,0.01,10.24,0.13,-0.12,0,39.83,0.44,20.35,0.25,0.19,1
20260618_182135,2.14,0.03,10.45,0.15,-0.12,0,27.68,0.35,17.99,0.26,0.09,1
20260618_182902,1.15,0.01,4.68,0.06,-0.05,0,42.11,0.45,21.77,0.27,0.18,1
20260618_183455,1.44,0.01,4.17,0.05,-0.04,0,45.2,0.47,23.06,0.27,0.2,1
20260621_170757,1.62,0.02,3.18,0.05,-0.03,0,23.8,0.32,14.27,0.22,0.1,1
20260621_171234,0.95,0.01,2.82,0.04,-0.03,0,23.12,0.31,14.4,0.22,0.09,1
20260621_171649,1.34,0.02,7.74,0.12,-0.1,0,23.45,0.31,14.79,0.22,0.09,1
20260621_172052,1.6,0.02,7.65,0.11,-0.09,0,23.03,0.31,16.63,0.25,0.06,1
20260621_172604,1.39,0.02,5.95,0.09,-0.07,0,23.61,0.32,12.58,0.2,0.12,1
20260621_173643,0.41,0.0,1.75,0.03,-0.03,0,31.89,0.38,16.48,0.24,0.14,1
20260621_174256,0.95,0.01,7.92,0.11,-0.1,0,26.7,0.34,18.21,0.26,0.08,1
20260621_174800,0.71,0.01,2.0,0.03,-0.02,0,32.73,0.39,28.1,0.35,0.04,1
20260621_175246,1.1,0.01,7.0,0.1,-0.09,0,22.53,0.31,16.87,0.25,0.06,1
20260621_180040,1.08,0.01,2.96,0.03,-0.02,0,50.86,0.5,44.15,0.46,0.04,1
20260621_183301,1.69,0.02,5.3,0.07,-0.05,0,41.7,0.45,19.35,0.24,0.21,1
20260621_183749,0.31,0.0,1.97,0.03,-0.03,0,27.24,0.35,15.61,0.23,0.12,1
20260621_184824,1.18,0.02,6.09,0.1,-0.08,0,26.71,0.34,12.2,0.19,0.15,1
20260621_185411,1.52,0.02,9.52,0.14,-0.12,0,25.68,0.33,16.55,0.24,0.09,1
20260621_191117,1.54,0.02,5.0,0.06,-0.04,0,36.48,0.42,17.69,0.23,0.19,1
20260621_191926,0.0,0.0,3.53,0.05,-0.05,0,26.07,0.34,19.39,0.28,0.06,1
