step_idx,failure_type,decision_time,frozen_task_ids,t,t1,t2,new_agent,delay_time,dynamic_task_ids
1,delay,27.930541038513184,1 2 3 4 5 6 7 8 9 10 11,10,,,,1.797,1 2 3 4 5 7 8 6 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
2,delay,29.701547384262085,1 2 3 4 5 6 7 8 9 10 11,10,,,,3.594,1 2 3 4 5 7 8 6 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
3,delay,43.34659719467163,1 2 3 4 5 6 7 8 9 10 11 12 13 14 16,14,,,,1.79,1 2 3 4 5 7 8 6 9 10 11 12 13 14 16 15 17 18 19 20 21 22 23 24
4,delay,47.86027431488037,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16,15,,,,1.6689,1 2 3 4 5 7 8 6 9 10 11 12 13 14 16 15 17 18 19 20 21 22 23 24
5,delay,49.54167032241821,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 20,15,,,,3.3378,1 2 3 4 5 7 8 6 9 10 11 12 13 14 16 15 17 20 18 19 21 22 23 24
6,delay,59.23161029815674,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 20,18,,,,1.7319,1 2 3 4 5 7 8 6 9 10 11 12 13 14 16 15 17 20 18 19 21 22 23 24
7,delay,61.037724018096924,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 20,18,,,,3.4638,1 2 3 4 5 7 8 6 9 10 11 12 13 14 16 15 17 20 18 19 21 22 23 24
8,delay,65.63665080070496,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20,19,,,,1.797,1 2 3 4 5 7 8 6 9 10 11 12 13 14 16 15 17 20 18 19 21 22 23 24
9,delay,75.14176321029663,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 24,22,,,,1.8096,1 2 3 4 5 7 8 6 9 10 11 12 13 14 16 15 17 20 18 19 21 22 24 23
10,delay,79.57205557823181,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,23,,,,1.797,1 2 3 4 5 7 8 6 9 10 11 12 13 14 16 15 17 20 18 19 21 22 24 23
11,delay,81.44679522514343,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,23,,,,3.594,1 2 3 4 5 7 8 6 9 10 11 12 13 14 16 15 17 20 18 19 21 22 24 23
12,delay,85.03692030906677,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,23,,,,7.188,1 2 3 4 5 7 8 6 9 10 11 12 13 14 16 15 17 20 18 19 21 22 24 23
13,delay,92.16597199440002,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,23,,,,7.188,1 2 3 4 5 7 8 6 9 10 11 12 13 14 16 15 17 20 18 19 21 22 24 23
