title: offline optimal schedule
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.99           3.99
       3       human           3.99           7.61           3.62
       4       robot           0.00           7.71           7.71
       5       human           7.71          13.63           5.92
       7       robot           7.71          15.94           8.23
       6       human          13.63          17.09           3.46
       8       human          17.09          20.69           3.59
       9       human          20.69          26.61           5.92
      10       human          26.61          30.20           3.59
      11       robot          20.23          28.61           8.38
      12       human          30.20          33.67           3.46
      13       human          33.67          39.59           5.92
      15       human          39.59          42.93           3.34
      14       human          42.93          46.51           3.58
      16       robot          32.54          41.59           9.06
      17       human          46.51          52.43           5.92
      18       human          52.43          55.90           3.46
      19       human          55.90          59.49           3.59
      20       robot          45.91          54.43           8.52
      21       human          59.49          65.42           5.92
      22       human          65.42          69.03           3.62
      23       human          69.03          72.63           3.59
      24       robot          58.21          67.42           9.20
                                         makespan:          72.63

title: dynamic scheduling 1
 task ID       agent     start_time    finish_time       duration
       2       human          -0.00           2.97           2.97
       3       human           2.99           6.35           3.36
       4       robot           0.06           8.86           8.79
       5       human           8.86          13.14           4.29
       7       robot           8.88          17.41           8.52
       6       human          13.16          16.29           3.12
       8       human          16.31          19.03           2.73
       9       human          19.11          23.25           4.14
      10       human          23.28          26.20           2.92
      11       robot          20.25          30.24           9.98
      12       human          26.24          29.03           2.79
      13       human          30.24          34.37           4.13
      15       human          34.40          39.40           5.01
      16       robot          32.57          41.62           9.06
      14       human          39.40          42.98           3.58
      17       human          42.98          48.91           5.92
      18       human          48.91          52.37           3.46
      19       human          52.37          55.96           3.59
      20       robot          42.38          50.91           8.52
      21       human          55.96          61.89           5.92
      22       human          61.89          65.51           3.62
      23       human          65.51          69.10           3.59
      24       robot          54.69          63.89           9.20
                                         makespan:          69.10

title: dynamic scheduling 2
 task ID       agent     start_time    finish_time       duration
       2       human          -0.00           2.97           2.97
       3       human           2.99           6.35           3.36
       4       robot           0.06           8.86           8.79
       5       human           8.86          13.14           4.29
       7       robot           8.88          17.41           8.52
       6       human          13.16          16.29           3.12
       8       human          16.31          19.03           2.73
       9       human          19.11          23.25           4.14
      10       human          23.28          26.20           2.92
      11       robot          20.25          30.24           9.98
      12       human          26.24          29.03           2.79
      13       human          30.24          34.37           4.13
      16       robot          32.57          41.62           9.06
      14       human          34.40          38.43           4.04
      15       human          38.43          41.77           3.34
      17       human          41.77          47.69           5.92
      18       human          47.69          51.16           3.46
      19       human          51.16          54.75           3.59
      20       robot          41.62          50.15           8.52
      21       human          54.75          60.67           5.92
      22       human          60.67          64.29           3.62
      23       human          64.29          67.89           3.59
      24       robot          53.47          62.67           9.20
                                         makespan:          67.89

title: final timeline
 task ID       agent     start_time    finish_time       duration
       2       human          -0.00           2.97           2.97
       3       human           2.99           6.35           3.36
       4       robot           0.06           8.86           8.79
       5       human           8.86          13.14           4.29
       7       robot           8.88          17.41           8.52
       6       human          13.16          16.29           3.12
       8       human          16.31          19.03           2.73
       9       human          19.11          23.25           4.14
      10       human          23.28          26.20           2.92
      11       robot          20.25          30.24           9.98
      12       human          26.24          29.03           2.79
      13       human          30.24          34.37           4.13
      16       robot          32.57          42.27           9.70
      14       human          34.40          38.43           4.04
      15       human          38.43          40.75           2.32
      17       human          42.27          46.43           4.16
      18       human          46.49          48.86           2.37
      19       human          48.93          52.10           3.18
      20       robot          42.29          52.22           9.93
      21       human          52.22          56.25           4.03
      22       human          56.27          59.45           3.18
      23       human          59.47          63.01           3.54
      24       robot          53.47          63.33           9.86
                                         makespan:          63.33

