step_idx,failure_type,decision_time,frozen_task_ids,t,t1,t2,new_agent,delay_time,dynamic_task_ids
1,delay,7.3824241161346436,1 2 3 4,3,,,,1.8096,1 2 3 4 5 6 8 7 9 10 11 12 13 16 15 14 17 18 19 20 21 22 23 24
2,delay,16.679540634155273,1 2 3 4 5 6 7,6,,,,1.7319,1 2 3 4 5 6 7 8 9 12 11 10 13 16 15 14 17 18 19 20 21 22 23 24
3,order,17.334033966064453,1 2 3 4 5 7 8,,6,8,,,1 2 3 4 5 7 8 6 9 12 11 10 13 16 15 14 17 18 19 20 21 22 23 24
4,delay,27.326610565185547,1 2 3 4 5 6 7 8 9 11 12,12,,,,1.7319,1 2 3 4 5 7 8 6 9 12 11 10 13 16 15 14 17 18 19 20 21 22 23 24
5,order,27.985990285873413,1 2 3 4 5 6 7 8 9 10 11,,12,10,,,1 2 3 4 5 7 8 6 9 11 10 12 13 16 15 14 17 18 19 20 21 22 23 24
6,delay,37.8419086933136,1 2 3 4 5 6 7 8 9 10 11 12 13 15 16,15,,,,1.6689,1 2 3 4 5 7 8 6 9 11 10 12 13 16 15 14 17 18 19 20 21 22 23 24
7,delay,50.13378310203552,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 20,18,,,,1.7319,1 2 3 4 5 7 8 6 9 11 10 12 13 16 15 14 17 18 20 19 21 22 23 24
8,delay,51.848084926605225,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 20,18,,,,3.4638,1 2 3 4 5 7 8 6 9 11 10 12 13 16 15 14 17 18 20 19 21 22 23 24
9,delay,55.303972244262695,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 20,18,,,,6.9276,1 2 3 4 5 7 8 6 9 11 10 12 13 16 15 14 17 18 20 19 21 22 23 24
10,delay,72.68612217903137,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 24,22,,,,1.8096,1 2 3 4 5 7 8 6 9 11 10 12 13 16 15 14 17 18 20 19 21 22 24 23
