title: offline optimal schedule
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.99           3.99
       3       human           3.99           7.61           3.62
       4       robot           0.00           7.71           7.71
       5       human           7.71          13.63           5.92
       7       robot           7.71          15.94           8.23
       8       human          13.63          17.22           3.59
       6       human          17.22          20.69           3.46
       9       human          20.69          26.61           5.92
      10       human          26.61          30.20           3.59
      11       robot          20.23          28.61           8.38
      12       human          30.20          33.67           3.46
      13       human          33.67          39.59           5.92
      15       human          39.59          42.93           3.34
      14       human          42.93          46.51           3.58
      16       robot          32.54          41.59           9.06
      17       human          46.51          52.43           5.92
      18       human          52.43          55.90           3.46
      19       human          55.90          59.49           3.59
      20       robot          45.91          54.43           8.52
      21       human          59.49          65.42           5.92
      23       human          65.42          69.01           3.59
      22       human          69.01          72.63           3.62
      24       robot          58.21          67.42           9.20
                                         makespan:          72.63

title: dynamic scheduling 1
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           2.63           2.63
       3       human           2.70           5.29           2.59
       4       robot           0.00           8.69           8.69
       5       human           8.69          11.84           3.15
       7       robot           8.74          18.25           9.52
       8       human          11.92          14.58           2.66
       6       human          14.66          17.40           2.74
       9       human          18.25          22.09           3.84
      10       human          22.17          25.01           2.84
      11       robot          20.23          29.99           9.75
      12       human          25.08          27.75           2.67
      13       human          29.99          33.37           3.38
      15       human          33.44          36.18           2.74
      14       human          36.24          41.61           5.37
      16       robot          32.57          41.63           9.06
      17       human          41.63          47.55           5.92
      18       human          47.55          51.01           3.46
      19       human          51.01          54.61           3.59
      20       robot          41.63          50.15           8.52
      21       human          54.61          60.53           5.92
      23       human          60.53          64.13           3.59
      22       human          64.13          67.74           3.62
      24       robot          53.33          62.53           9.20
                                         makespan:          67.74

title: dynamic scheduling 2
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           2.63           2.63
       3       human           2.70           5.29           2.59
       4       robot           0.00           8.69           8.69
       5       human           8.69          11.84           3.15
       7       robot           8.74          18.25           9.52
       8       human          11.92          14.58           2.66
       6       human          14.66          17.40           2.74
       9       human          18.25          22.09           3.84
      10       human          22.17          25.01           2.84
      11       robot          20.23          29.99           9.75
      12       human          25.08          27.75           2.67
      13       human          29.99          33.37           3.38
      15       human          33.44          36.18           2.74
      14       human          36.24          45.19           8.95
      16       robot          32.57          41.68           9.11
      17       human          45.19          51.11           5.92
      18       human          51.11          54.57           3.46
      19       human          54.57          58.17           3.59
      20       robot          44.59          53.11           8.52
      21       human          58.17          64.09           5.92
      23       human          64.09          67.69           3.59
      22       human          67.69          71.30           3.62
      24       robot          56.89          66.09           9.20
                                         makespan:          71.30

title: dynamic scheduling 3
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           2.63           2.63
       3       human           2.70           5.29           2.59
       4       robot           0.00           8.69           8.69
       5       human           8.69          11.84           3.15
       7       robot           8.74          18.25           9.52
       8       human          11.92          14.58           2.66
       6       human          14.66          17.40           2.74
       9       human          18.25          22.09           3.84
      10       human          22.17          25.01           2.84
      11       robot          20.23          29.99           9.75
      12       human          25.08          27.75           2.67
      13       human          29.99          33.37           3.38
      15       human          33.44          36.18           2.74
      14       human          36.24          52.35          16.11
      16       robot          32.57          42.95          10.38
      17       human          52.35          58.27           5.92
      20       robot          44.65          60.27          15.62
      18       human          58.27          61.73           3.46
      19       human          61.73          65.33           3.59
      21       human          65.33          71.25           5.92
      23       human          71.25          74.85           3.59
      22       human          74.85          78.46           3.62
      24       robot          64.05          73.25           9.20
                                         makespan:          78.46

title: dynamic scheduling 4
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           2.63           2.63
       3       human           2.70           5.29           2.59
       4       robot           0.00           8.69           8.69
       5       human           8.69          11.84           3.15
       7       robot           8.74          18.25           9.52
       8       human          11.92          14.58           2.66
       6       human          14.66          17.40           2.74
       9       human          18.25          22.09           3.84
      10       human          22.17          25.01           2.84
      11       robot          20.23          29.99           9.75
      12       human          25.08          27.75           2.67
      13       human          29.99          33.37           3.38
      15       human          33.44          36.18           2.74
      14       human          36.24          46.04           9.80
      16       robot          32.57          42.95          10.38
      17       human          46.16          55.05           8.89
      20       robot          44.65          57.05          12.40
      18       human          55.05          58.51           3.46
      19       human          58.51          62.11           3.59
      21       human          62.11          68.03           5.92
      23       human          68.03          71.62           3.59
      22       human          71.62          75.24           3.62
      24       robot          60.83          70.03           9.20
                                         makespan:          75.24

title: dynamic scheduling 5
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           2.63           2.63
       3       human           2.70           5.29           2.59
       4       robot           0.00           8.69           8.69
       5       human           8.69          11.84           3.15
       7       robot           8.74          18.25           9.52
       8       human          11.92          14.58           2.66
       6       human          14.66          17.40           2.74
       9       human          18.25          22.09           3.84
      10       human          22.17          25.01           2.84
      11       robot          20.23          29.99           9.75
      12       human          25.08          27.75           2.67
      13       human          29.99          33.37           3.38
      15       human          33.44          36.18           2.74
      14       human          36.24          46.04           9.80
      16       robot          32.57          42.95          10.38
      17       human          46.16          53.69           7.52
      20       robot          44.65          57.66          13.01
      18       human          53.80          56.19           2.38
      19       human          56.27          59.16           2.89
      21       human          59.28          62.85           3.58
      23       human          62.92          68.31           5.39
      24       robot          60.94          70.14           9.20
      22       human          68.31          71.93           3.62
                                         makespan:          71.93

title: final timeline
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           2.63           2.63
       3       human           2.70           5.29           2.59
       4       robot           0.00           8.69           8.69
       5       human           8.69          11.84           3.15
       7       robot           8.74          18.25           9.52
       8       human          11.92          14.58           2.66
       6       human          14.66          17.40           2.74
       9       human          18.25          22.09           3.84
      10       human          22.17          25.01           2.84
      11       robot          20.23          29.99           9.75
      12       human          25.08          27.75           2.67
      13       human          29.99          33.37           3.38
      15       human          33.44          36.18           2.74
      14       human          36.24          46.04           9.80
      16       robot          32.57          42.95          10.38
      17       human          46.16          53.69           7.52
      20       robot          44.65          57.66          13.01
      18       human          53.80          56.19           2.38
      19       human          56.27          59.16           2.89
      21       human          59.28          62.85           3.58
      23       human          62.92          67.36           4.44
      24       robot          60.94          71.12          10.19
      22       human          67.40          70.20           2.80
                                         makespan:          71.12

