ID,command,object,zone,agent,status,layout,human_standard_time,robot_standard_time,actual_time
1,replace,kit box,kitbox zone,human,completed,B,0,10000,0
2,pick and place,A_pink,Top,robot,pending,B,3.993,9.058,
3,pick and place,C_mint,BottomRight,human,pending,B,3.6192,8.229,
4,pick and place,D_skin,BottomLeft,robot,pending,B,3.594,7.705,
5,replace,kit box,kitbox zone,human,pending,C,5.9238,10000,
6,pick and place,B_green,Top,human,pending,C,3.4638,8.28,
7,pick and place,C_mint,BottomRight,robot,pending,C,3.6192,8.378,
8,pick and place,D_skin,BottomLeft,human,pending,C,3.594,7.856,
9,replace,kit box,kitbox zone,human,pending,C,5.9238,10000,
10,pick and place,D_skin,BottomLeft,robot,pending,C,3.594,8.002,
11,pick and place,C_mint,BottomRight,human,pending,C,3.6192,8.524,
12,pick and place,B_green,Top,robot,pending,C,3.4638,8.425,
13,replace,kit box,kitbox zone,human,pending,A,5.9238,10000,
14,pick and place,B_green,BottomLeft,human,pending,A,3.58,9.084,
15,pick and place,D_skin,BottomRight,human,pending,A,3.3378,8.802,
16,pick and place,A_pink,Top,robot,pending,A,3.993,9.204,
17,replace,kit box,kitbox zone,human,pending,C,5.9238,10000,
18,pick and place,B_green,Top,robot,pending,C,3.4638,8.741,
19,pick and place,D_skin,BottomLeft,robot,pending,C,3.594,8.298,
20,pick and place,C_mint,BottomRight,human,pending,C,3.6192,8.674,
21,replace,kit box,kitbox zone,human,pending,B,5.9238,10000,
22,pick and place,C_mint,BottomRight,human,pending,B,3.6192,8.842,
23,pick and place,D_skin,BottomLeft,robot,pending,B,3.594,8.469,
24,pick and place,A_pink,Top,human,pending,B,3.993,9.374,
