ID,command,object,zone,agent,status,layout,human_standard_time,robot_standard_time,actual_time
1,replace,kit box,kitbox zone,human,pending,B,5.9238,10000,
2,pick and place,A_pink,Top,robot,pending,B,3.993,5.058,
3,pick and place,C_mint,BottomRight,human,pending,B,4.6192,12.229,
4,pick and place,D_skin,BottomLeft,robot,pending,B,3.594,7.705,
5,replace,kit box,kitbox zone,human,pending,C,7.9238,10000,
6,pick and place,B_green,Top,robot,pending,C,5.4638,8.28,
7,pick and place,C_mint,BottomRight,human,pending,C,5.6192,15.378,
8,pick and place,D_skin,BottomLeft,human,pending,C,5.594,6.056,
9,replace,kit box,kitbox zone,human,pending,C,5.9238,10000,
10,pick and place,D_skin,BottomLeft,human,pending,C,3.594,10.002,
11,pick and place,C_mint,BottomRight,human,pending,C,6.6192,8.524,
12,pick and place,B_green,Top,robot,pending,C,3.4638,10.425,
13,replace,kit box,kitbox zone,human,pending,A,5.9238,10000,
14,pick and place,B_green,BottomLeft,robot,pending,A,3.58,9.084,
15,pick and place,D_skin,BottomRight,human,pending,A,6.3378,6.802,
16,pick and place,A_pink,Top,robot,pending,A,3.003,5.204,
17,replace,kit box,kitbox zone,human,pending,C,5.9238,10000,
18,pick and place,B_green,Top,robot,pending,C,7.4638,15.741,
19,pick and place,D_skin,BottomLeft,robot,pending,C,3.594,12.298,
20,pick and place,C_mint,BottomRight,human,pending,C,6.6192,18.674,
21,replace,kit box,kitbox zone,human,pending,B,5.9238,10000,
22,pick and place,C_mint,BottomRight,human,pending,B,7.6192,8.842,
23,pick and place,D_skin,BottomLeft,human,pending,B,3.594,10.469,
24,pick and place,A_pink,Top,robot,pending,B,6.993,9.374,
