step_idx,iteration,best_makespan
1,0,73.08556962013245
1,1,73.08556962013245
1,2,73.08556962013245
1,3,73.08556962013245
1,4,73.08556962013245
1,5,73.08556962013245
1,6,73.08556962013245
1,7,73.08556962013245
1,8,73.08556962013245
1,9,73.08556962013245
1,10,73.08556962013245
1,11,73.08556962013245
1,12,73.08556962013245
1,13,73.08556962013245
1,14,73.08556962013245
1,15,73.08556962013245
1,16,73.08556962013245
1,17,73.08556962013245
1,18,73.08556962013245
1,19,73.08556962013245
1,20,73.08556962013245
1,21,73.08556962013245
1,22,73.08556962013245
1,23,73.08556962013245
1,24,73.08556962013245
1,25,73.08556962013245
1,26,73.08556962013245
1,27,73.08556962013245
1,28,73.08556962013245
1,29,73.08556962013245
1,30,73.08556962013245
1,31,73.08556962013245
1,32,73.08556962013245
1,33,73.08556962013245
1,34,73.08556962013245
1,35,73.08556962013245
1,36,73.08556962013245
1,37,73.08556962013245
1,38,73.08556962013245
1,39,73.08556962013245
1,40,73.08556962013245
1,41,73.08556962013245
1,42,73.08556962013245
1,43,73.08556962013245
1,44,73.08556962013245
1,45,73.08556962013245
1,46,73.08556962013245
1,47,73.08556962013245
1,48,73.08556962013245
1,49,73.08556962013245
1,50,73.08556962013245
1,51,73.08556962013245
1,52,73.08556962013245
1,53,73.08556962013245
1,54,73.08556962013245
1,55,73.08556962013245
1,56,73.08556962013245
1,57,73.08556962013245
1,58,73.08556962013245
1,59,73.08556962013245
1,60,73.08556962013245
1,61,73.08556962013245
1,62,73.08556962013245
1,63,73.08556962013245
1,64,73.08556962013245
1,65,73.08556962013245
1,66,73.08556962013245
1,67,73.08556962013245
1,68,73.08556962013245
1,69,73.08556962013245
1,70,73.08556962013245
1,71,73.08556962013245
1,72,73.08556962013245
1,73,73.08556962013245
1,74,73.08556962013245
1,75,73.08556962013245
1,76,73.08556962013245
1,77,73.08556962013245
1,78,73.08556962013245
1,79,73.08556962013245
2,0,70.01
2,1,70.01
2,2,70.01
2,3,70.01
2,4,70.01
2,5,70.01
2,6,70.01
2,7,70.01
2,8,70.01
2,9,70.01
2,10,70.01
2,11,70.01
2,12,70.01
2,13,70.01
2,14,70.01
2,15,70.01
2,16,70.01
2,17,70.01
2,18,70.01
2,19,70.01
2,20,70.01
2,21,70.01
2,22,70.01
2,23,70.01
2,24,70.01
2,25,70.01
2,26,70.01
2,27,70.01
2,28,70.01
2,29,70.01
2,30,70.01
2,31,70.01
2,32,70.01
2,33,70.01
2,34,70.01
2,35,70.01
2,36,70.01
2,37,70.01
2,38,70.01
2,39,70.01
2,40,70.01
2,41,70.01
2,42,70.01
2,43,70.01
2,44,70.01
2,45,70.01
2,46,70.01
2,47,70.01
2,48,70.01
2,49,70.01
2,50,70.01
2,51,70.01
2,52,70.01
2,53,70.01
2,54,70.01
2,55,70.01
2,56,70.01
2,57,70.01
2,58,70.01
2,59,70.01
2,60,70.01
2,61,70.01
2,62,70.01
2,63,70.01
2,64,70.01
2,65,70.01
2,66,70.01
2,67,70.01
2,68,70.01
2,69,70.01
2,70,70.01
2,71,70.01
2,72,70.01
2,73,70.01
2,74,70.01
2,75,70.01
2,76,70.01
2,77,70.01
2,78,70.01
2,79,70.01
3,0,73.34
3,1,73.34
3,2,73.34
3,3,73.34
3,4,73.34
3,5,73.34
3,6,73.34
3,7,73.34
3,8,73.34
3,9,73.34
3,10,73.34
3,11,73.34
3,12,73.34
3,13,73.34
3,14,73.34
3,15,73.34
3,16,73.34
3,17,73.34
3,18,73.34
3,19,73.34
3,20,73.34
3,21,73.34
3,22,73.34
3,23,73.34
3,24,73.34
3,25,73.34
3,26,73.34
3,27,73.34
3,28,73.34
3,29,73.34
3,30,73.34
3,31,73.34
3,32,73.34
3,33,73.34
3,34,73.34
3,35,73.34
3,36,73.34
3,37,73.34
3,38,73.34
3,39,73.34
3,40,73.34
3,41,73.34
3,42,73.34
3,43,73.34
3,44,73.34
3,45,73.34
3,46,73.34
3,47,73.34
3,48,73.34
3,49,73.34
3,50,73.34
3,51,73.34
3,52,73.34
3,53,73.34
3,54,73.34
3,55,73.34
3,56,73.34
3,57,73.34
3,58,73.34
