step_idx,decision_time,task_id,agent,state,duration_source,duration_used,fixed_start,recorded_finish,expected_finish_used
1,17.585569620132446,1,human,completed_before_time_origin,zero_time_origin,0.0,0.0,0.0,0.0
1,17.585569620132446,2,human,completed,recorded_real_duration,3.89,-0.0,3.88,3.88
1,17.585569620132446,3,human,completed,recorded_real_duration,2.72,3.91,6.63,6.63
1,17.585569620132446,4,robot,completed,recorded_real_duration,9.17,0.07,9.24,9.24
1,17.585569620132446,5,human,completed,recorded_real_duration,5.25,9.24,14.49,14.49
1,17.585569620132446,7,robot,completed,recorded_real_duration,8.33,9.26,17.59,17.59
1,17.585569620132446,6,human,completed,recorded_real_duration,3.05,14.53,17.59,17.59
1,17.585569620132446,8,human,pending,standard_time,3.59,,,
1,17.585569620132446,9,human,pending,standard_time,5.92,,,
1,17.585569620132446,10,human,pending,standard_time,3.59,,,
1,17.585569620132446,11,robot,pending,standard_time,8.38,,,
1,17.585569620132446,12,human,pending,standard_time,3.46,,,
1,17.585569620132446,13,human,pending,standard_time,5.92,,,
1,17.585569620132446,16,robot,pending,standard_time,9.06,,,
1,17.585569620132446,15,human,pending,standard_time,3.34,,,
1,17.585569620132446,14,human,pending,standard_time,3.58,,,
1,17.585569620132446,17,human,pending,standard_time,5.92,,,
1,17.585569620132446,18,human,pending,standard_time,3.46,,,
1,17.585569620132446,19,human,pending,standard_time,3.59,,,
1,17.585569620132446,20,robot,pending,standard_time,8.52,,,
1,17.585569620132446,21,human,pending,standard_time,5.92,,,
1,17.585569620132446,23,human,pending,standard_time,3.59,,,
1,17.585569620132446,22,human,pending,standard_time,3.62,,,
1,17.585569620132446,24,robot,pending,standard_time,9.2,,,
2,38.66707944869995,1,human,completed_before_time_origin,zero_time_origin,0.0,0.0,0.0,0.0
2,38.66707944869995,2,human,completed,recorded_real_duration,3.89,-0.0,3.88,3.88
2,38.66707944869995,3,human,completed,recorded_real_duration,2.72,3.91,6.63,6.63
2,38.66707944869995,4,robot,completed,recorded_real_duration,9.17,0.07,9.24,9.24
2,38.66707944869995,5,human,completed,recorded_real_duration,5.25,9.24,14.49,14.49
2,38.66707944869995,7,robot,completed,recorded_real_duration,8.55,9.26,17.81,17.81
2,38.66707944869995,6,human,completed,recorded_real_duration,3.05,14.53,17.59,17.59
2,38.66707944869995,8,human,completed,recorded_real_duration,2.03,17.59,19.61,19.61
2,38.66707944869995,9,human,completed,recorded_real_duration,5.1,19.68,24.78,24.78
2,38.66707944869995,10,human,completed,recorded_real_duration,3.08,24.8,27.87,27.87
2,38.66707944869995,11,robot,completed,recorded_real_duration,9.89,20.78,30.68,30.68
2,38.66707944869995,12,human,completed,recorded_real_duration,2.77,27.91,30.68,30.68
2,38.66707944869995,13,human,completed,recorded_real_duration,4.55,30.74,35.29,35.29
2,38.66707944869995,16,robot,dispatched,recorded_in_progress_expected_duration,9.06,33.04,42.1,42.1
2,38.66707944869995,15,human,executing,recorded_in_progress_expected_duration,5.01,35.32,40.32,40.32
2,38.66707944869995,14,human,pending,standard_time,3.58,,,
2,38.66707944869995,17,human,pending,standard_time,5.92,,,
2,38.66707944869995,18,human,pending,standard_time,3.46,,,
2,38.66707944869995,19,human,pending,standard_time,3.59,,,
2,38.66707944869995,20,robot,pending,standard_time,8.52,,,
2,38.66707944869995,21,human,pending,standard_time,5.92,,,
2,38.66707944869995,23,human,pending,standard_time,3.59,,,
2,38.66707944869995,22,human,pending,standard_time,3.62,,,
2,38.66707944869995,24,robot,pending,standard_time,9.2,,,
3,40.375242710113525,1,human,completed_before_time_origin,zero_time_origin,0.0,0.0,0.0,0.0
3,40.375242710113525,2,human,completed,recorded_real_duration,3.89,-0.0,3.88,3.88
3,40.375242710113525,3,human,completed,recorded_real_duration,2.72,3.91,6.63,6.63
3,40.375242710113525,4,robot,completed,recorded_real_duration,9.17,0.07,9.24,9.24
3,40.375242710113525,5,human,completed,recorded_real_duration,5.25,9.24,14.49,14.49
3,40.375242710113525,7,robot,completed,recorded_real_duration,8.55,9.26,17.81,17.81
3,40.375242710113525,6,human,completed,recorded_real_duration,3.05,14.53,17.59,17.59
3,40.375242710113525,8,human,completed,recorded_real_duration,2.03,17.59,19.61,19.61
3,40.375242710113525,9,human,completed,recorded_real_duration,5.1,19.68,24.78,24.78
3,40.375242710113525,10,human,completed,recorded_real_duration,3.08,24.8,27.87,27.87
3,40.375242710113525,11,robot,completed,recorded_real_duration,9.89,20.78,30.68,30.68
3,40.375242710113525,12,human,completed,recorded_real_duration,2.77,27.91,30.68,30.68
